x,y,rho,u,v,w,p,Bx,By,Bz,psi,divB
3.90625000e-03,4.72656250e-01,1.91143896e-01,-1.63490449e-01,2.77666428e-02,0.00000000e+00,1.51492842e-01,-2.10401255e-01,-1.50028418e-01,0.00000000e+00,1.35656645e-03,2.59654949e-04
3.90625000e-03,4.80468750e-01,2.01836577e-01,-1.15231779e-01,3.09033894e-02,0.00000000e+00,1.61646498e-01,-1.70325910e-01,-1.20995718e-01,0.00000000e+00,3.04925559e-03,-5.54028330e-03
3.90625000e-03,4.88281250e-01,2.19300803e-01,-6.55850447e-02,2.97934795e-02,0.00000000e+00,1.71725037e-01,-1.19869317e-01,-8.43710345e-02,0.00000000e+00,4.95439561e-03,-1.29065275e-02
3.90625000e-03,4.96093750e-01,2.41033038e-01,-1.82872692e-02,2.33977119e-02,0.00000000e+00,1.79198140e-01,-5.92354847e-02,-4.03938589e-02,0.00000000e+00,7.01501710e-03,-6.73674543e-02
3.90625000e-03,5.03906250e-01,2.51915806e-01,2.55218391e-02,1.14031644e-02,0.00000000e+00,1.81358231e-01,9.64542805e-03,8.96393333e-03,0.00000000e+00,8.07337041e-03,-1.55032828e-01
3.90625000e-03,5.11718750e-01,2.36979152e-01,7.32507801e-02,3.68568884e-03,0.00000000e+00,1.77361964e-01,7.64065863e-02,5.70182010e-02,0.00000000e+00,6.52379005e-03,-7.70677403e-02
3.90625000e-03,5.19531250e-01,2.15064599e-01,1.23845204e-01,1.55726776e-04,0.00000000e+00,1.68525065e-01,1.34168269e-01,9.94754272e-02,0.00000000e+00,4.47480888e-03,-3.72283826e-02
3.90625000e-03,5.27343750e-01,1.98579680e-01,1.72884232e-01,3.11514517e-04,0.00000000e+00,1.57856256e-01,1.81742497e-01,1.34786807e-01,0.00000000e+00,2.40596315e-03,-1.67382348e-02
3.90625000e-03,5.35156250e-01,1.88394748e-01,2.18770072e-01,3.68799109e-03,0.00000000e+00,1.47599060e-01,2.19065331e-01,1.62815378e-01,0.00000000e+00,5.92261246e-04,-5.01358555e-03
3.90625000e-03,5.42968750e-01,1.82272605e-01,2.60709007e-01,9.16113639e-03,0.00000000e+00,1.39170488e-01,2.47077235e-01,1.84292019e-01,0.00000000e+00,-7.95930289e-04,-2.44188924e-03
3.90625000e-03,5.50781250e-01,1.78437051e-01,2.98580905e-01,1.56163186e-02,0.00000000e+00,1.33189647e-01,2.67249063e-01,2.00297011e-01,0.00000000e+00,-1.76825219e-03,-3.50375344e-03
3.90625000e-03,5.58593750e-01,1.76084423e-01,3.32591991e-01,2.21963001e-02,0.00000000e+00,1.29761576e-01,2.81032398e-01,2.11914448e-01,0.00000000e+00,-2.39224665e-03,-5.71407286e-03
3.90625000e-03,5.66406250e-01,1.74999048e-01,3.63065037e-01,2.82709087e-02,0.00000000e+00,1.28710828e-01,2.89695497e-01,2.20074649e-01,0.00000000e+00,-2.74426984e-03,-8.34939625e-03
3.90625000e-03,5.74218750e-01,1.75172343e-01,3.90452013e-01,3.33756711e-02,0.00000000e+00,1.29780617e-01,2.94200462e-01,2.25489914e-01,0.00000000e+00,-2.90563054e-03,-1.02230638e-02
3.90625000e-03,5.82031250e-01,1.76658727e-01,4.15148119e-01,3.71494401e-02,0.00000000e+00,1.32705156e-01,2.95239316e-01,2.28642645e-01,0.00000000e+00,-2.92976006e-03,-1.16540470e-02
3.90625000e-03,5.89843750e-01,1.79511869e-01,4.37600704e-01,3.93209466e-02,0.00000000e+00,1.37268743e-01,2.93239648e-01,2.29809327e-01,0.00000000e+00,-2.86034084e-03,-1.20573681e-02
3.90625000e-03,5.97656250e-01,1.83753288e-01,4.58160310e-01,3.96771005e-02,0.00000000e+00,1.43276706e-01,2.88470853e-01,2.29094496e-01,0.00000000e+00,-2.70687725e-03,-1.20357505e-02
3.90625000e-03,6.05468750e-01,1.89387409e-01,4.77179129e-01,3.80500908e-02,0.00000000e+00,1.50549548e-01,2.81090759e-01,2.26482050e-01,0.00000000e+00,-2.46529004e-03,-1.16724806e-02
3.90625000e-03,6.13281250e-01,1.96311699e-01,4.94908902e-01,3.43402937e-02,0.00000000e+00,1.58861859e-01,2.71261050e-01,2.21898339e-01,0.00000000e+00,-2.10682450e-03,-1.13670241e-02
3.90625000e-03,6.21093750e-01,2.04316896e-01,5.11683326e-01,2.85311819e-02,0.00000000e+00,1.67947134e-01,2.59172827e-01,2.15276503e-01,0.00000000e+00,-1.59855041e-03,-1.39736713e-02
3.90625000e-03,6.28906250e-01,2.12942879e-01,5.27789022e-01,2.05951051e-02,0.00000000e+00,1.77388779e-01,2.45185559e-01,2.06594835e-01,0.00000000e+00,-9.76984258e-04,-1.90039934e-02
3.90625000e-03,6.36718750e-01,2.21468548e-01,5.44178573e-01,1.12348179e-02,0.00000000e+00,1.86715043e-01,2.29769871e-01,1.96089787e-01,0.00000000e+00,-4.12791297e-04,-1.77948216e-02
3.90625000e-03,6.44531250e-01,2.29087314e-01,5.61358935e-01,1.42004980e-03,0.00000000e+00,1.95341845e-01,2.13636788e-01,1.84175326e-01,0.00000000e+00,9.67529381e-05,-1.80321051e-02
3.90625000e-03,6.52343750e-01,2.35510260e-01,5.79384076e-01,-8.14658140e-03,0.00000000e+00,2.02819891e-01,1.97465855e-01,1.71414002e-01,0.00000000e+00,5.12781892e-04,-1.74283071e-02
3.90625000e-03,6.60156250e-01,2.40520958e-01,5.98105053e-01,-1.67772302e-02,0.00000000e+00,2.08806563e-01,1.81906792e-01,1.58444639e-01,0.00000000e+00,7.97839379e-04,-1.50396318e-02
3.90625000e-03,6.67968750e-01,2.43931253e-01,6.16889560e-01,-2.38958444e-02,0.00000000e+00,2.13040328e-01,1.67629682e-01,1.45942263e-01,0.00000000e+00,9.83215756e-04,-1.35575238e-02
3.90625000e-03,6.75781250e-01,2.45701139e-01,6.34931817e-01,-2.91273773e-02,0.00000000e+00,2.15441963e-01,1.55143504e-01,1.34559986e-01,0.00000000e+00,1.04781551e-03,-1.02624438e-02
3.90625000e-03,6.83593750e-01,2.45927412e-01,6.51287422e-01,-3.22797825e-02,0.00000000e+00,2.16088166e-01,1.44760830e-01,1.24836067e-01,0.00000000e+00,9.95691173e-04,-5.47259072e-03
3.90625000e-03,6.91406250e-01,2.44816494e-01,6.64974437e-01,-3.33221875e-02,0.00000000e+00,2.15178757e-01,1.36578714e-01,1.17152339e-01,0.00000000e+00,8.56976784e-04,-4.26237598e-05
3.90625000e-03,6.99218750e-01,2.42658615e-01,6.75118908e-01,-3.23514824e-02,0.00000000e+00,2.13004503e-01,1.30480860e-01,1.11715783e-01,0.00000000e+00,6.72767899e-04,5.29684551e-03
3.90625000e-03,7.07031250e-01,2.39796595e-01,6.81087494e-01,-2.95508042e-02,0.00000000e+00,2.09907621e-01,1.26176907e-01,1.08556938e-01,0.00000000e+00,4.81447385e-04,9.77656848e-03
