i,j,x,y,Bx,By,Bz,psi,divB
87,1,0.683594,0.0117188,1.00006,-7.22473e-05,0,0.000173188,-0.00510418
88,1,0.691406,0.0117188,1.00006,-7.04623e-05,0,0.000171489,-0.0050847
89,1,0.699219,0.0117188,1.00007,-6.84725e-05,0,0.000169167,-0.00504801
90,1,0.707031,0.0117188,1.00008,-6.63068e-05,0,0.000166263,-0.00499496
91,1,0.714844,0.0117188,1.00008,-6.39926e-05,0,0.000162819,-0.0049264
92,1,0.722656,0.0117188,1.00009,-6.15559e-05,0,0.00015888,-0.00484325
93,1,0.730469,0.0117188,1.00009,-5.90212e-05,0,0.000154492,-0.00474646
94,1,0.738281,0.0117188,1.00009,-5.64114e-05,0,0.000149701,-0.00463702
95,1,0.746094,0.0117188,1.00009,-5.37479e-05,0,0.000144555,-0.00451592
96,1,0.753906,0.0117188,1.00009,-5.10507e-05,0,0.000139101,-0.0043842
97,1,0.761719,0.0117188,1.00009,-4.83382e-05,0,0.000133387,-0.00424295
98,1,0.769531,0.0117188,1.00009,-4.56275e-05,0,0.000127461,-0.00409323
99,1,0.777344,0.0117188,1.00009,-4.29343e-05,0,0.000121371,-0.00393615
100,1,0.785156,0.0117188,1.00009,-4.02729e-05,0,0.000115162,-0.00377284
101,1,0.792969,0.0117188,1.00008,-3.76564e-05,0,0.000108879,-0.00360441
102,1,0.800781,0.0117188,1.00008,-3.50965e-05,0,0.000102567,-0.00343198
103,1,0.808594,0.0117188,1.00008,-3.26037e-05,0,9.62654e-05,-0.00325667
104,1,0.816406,0.0117188,1.00007,-3.01873e-05,0,9.00147e-05,-0.00307957
105,1,0.824219,0.0117188,1.00007,-2.78552e-05,0,8.38515e-05,-0.00290175
106,1,0.832031,0.0117188,1.00007,-2.56144e-05,0,7.78095e-05,-0.00272425
107,1,0.839844,0.0117188,1.00006,-2.34704e-05,0,7.19194e-05,-0.00254804
108,1,0.847656,0.0117188,1.00006,-2.14277e-05,0,6.62085e-05,-0.00237405
109,1,0.855469,0.0117188,1.00005,-1.94897e-05,0,6.07004e-05,-0.00220314
110,1,0.863281,0.0117188,1.00005,-1.76584e-05,0,5.54153e-05,-0.0020361
111,1,0.871094,0.0117188,1.00005,-1.5935e-05,0,5.03691e-05,-0.00187361
112,1,0.878906,0.0117188,1.00004,-1.43195e-05,0,4.55741e-05,-0.00171628
113,1,0.886719,0.0117188,1.00004,-1.28107e-05,0,4.10384e-05,-0.00156459
114,1,0.894531,0.0117188,1.00003,-1.14066e-05,0,3.67664e-05,-0.00141892
115,1,0.902344,0.0117188,1.00003,-1.01043e-05,0,3.27585e-05,-0.00127956
116,1,0.910156,0.0117188,1.00003,-8.8998e-06,0,2.90114e-05,-0.00114665
117,1,0.917969,0.0117188,1.00003,-7.78842e-06,0,2.55184e-05,-0.00102022
118,1,0.925781,0.0117188,1.00002,-6.76465e-06,0,2.22692e-05,-0.00090019
119,1,0.933594,0.0117188,1.00002,-5.82225e-06,0,1.92503e-05,-0.000786355
120,1,0.941406,0.0117188,1.00002,-4.95438e-06,0,1.64457e-05,-0.000678402
121,1,0.949219,0.0117188,1.00002,-4.15359e-06,0,1.38363e-05,-0.000575915
122,1,0.957031,0.0117188,1.00001,-3.41195e-06,0,1.1401e-05,-0.000478378
123,1,0.964844,0.0117188,1.00001,-2.72108e-06,0,9.11633e-06,-0.000385187
124,1,0.972656,0.0117188,1.00001,-2.07225e-06,0,6.9574e-06,-0.000295661
125,1,0.980469,0.0117188,1.00001,-1.45641e-06,0,4.89773e-06,-0.000209055
126,1,0.988281,0.0117188,1.00001,-8.64309e-07,0,2.90974e-06,-0.000124573
127,1,0.996094,0.0117188,1.00001,-2.8651e-07,0,9.65081e-07,-4.13803e-05
0,2,0.00390625,0.0195312,1.00001,4.82811e-07,0,-1.01206e-06,4.29548e-05
1,2,0.0117188,0.0195312,1.00001,1.45641e-06,0,-3.05083e-06,0.000129293
2,2,0.0195312,0.0195312,1.00001,2.4539e-06,0,-5.13336e-06,0.000216907
3,2,0.0273438,0.0195312,1.00001,3.49102e-06,0,-7.2883e-06,0.000306624
4,2,0.0351562,0.0195312,1.00001,4.58323e-06,0,-9.54341e-06,0.00039923
5,2,0.0429688,0.0195312,1.00002,5.74562e-06,0,-1.19253e-05,0.000495462
6,2,0.0507812,0.0195312,1.00002,6.99276e-06,0,-1.44592e-05,0.000595988
7,2,0.0585938,0.0195312,1.00002,8.33862e-06,0,-1.71683e-05,0.000701402
8,2,0.0664062,0.0195312,1.00002,9.79645e-06,0,-2.00738e-05,0.000812206
9,2,0.0742188,0.0195312,1.00002,1.13786e-05,0,-2.31945e-05,0.000928807
10,2,0.0820312,0.0195312,1.00003,1.30966e-05,0,-2.65463e-05,0.0010515
11,2,0.0898438,0.0195312,1.00003,1.49607e-05,0,-3.01424e-05,0.00118048
12,2,0.0976562,0.0195312,1.00003,1.69801e-05,0,-3.39926e-05,0.00131582
13,2,0.105469,0.0195312,1.00004,1.91626e-05,0,-3.81031e-05,0.00145747
14,2,0.113281,0.0195312,1.00004,2.15148e-05,0,-4.24768e-05,0.00160527
15,2,0.121094,0.0195312,1.00004,2.40416e-05,0,-4.71125e-05,0.00175894
16,2,0.128906,0.0195312,1.00005,2.67465e-05,0,-5.20055e-05,0.00191808
17,2,0.136719,0.0195312,1.00005,2.96312e-05,0,-5.71468e-05,0.0020822
18,2,0.144531,0.0195312,1.00006,3.26956e-05,0,-6.25237e-05,0.00225069
19,2,0.152344,0.0195312,1.00006,3.59381e-05,0,-6.81194e-05,0.00242287
20,2,0.160156,0.0195312,1.00006,3.9355e-05,0,-7.39134e-05,0.00259794
21,2,0.167969,0.0195312,1.00007,4.29408e-05,0,-7.98815e-05,0.00277505
22,2,0.175781,0.0195312,1.00007,4.66881e-05,0,-8.59959e-05,0.00295328
23,2,0.183594,0.0195312,1.00008,5.05877e-05,0,-9.22256e-05,0.00313165
24,2,0.191406,0.0195312,1.00008,5.4628e-05,0,-9.85364e-05,0.00330914
25,2,0.199219,0.0195312,1.00008,5.87958e-05,0,-0.000104891,0.00348469
26,2,0.207031,0.0195312,1.00009,6.30757e-05,0,-0.000111251,0.00365722
27,2,0.214844,0.0195312,1.00009,6.74504e-05,0,-0.000117574,0.00382562
28,2,0.222656,0.0195312,1.00009,7.19001e-05,0,-0.000123816,0.00398878
29,2,0.230469,0.0195312,1.00009,7.64034e-05,0,-0.000129933,0.00414561
30,2,0.238281,0.0195312,1.00009,8.09362e-05,0,-0.000135878,0.00429499
31,2,0.246094,0.0195312,1.00009,8.54726e-05,0,-0.000141606,0.00443584
32,2,0.253906,0.0195312,1.00009,8.99841e-05,0,-0.000147067,0.00456708
33,2,0.261719,0.0195312,1.00009,9.444e-05,0,-0.000152215,0.00468765
34,2,0.269531,0.0195312,1.00009,9.88069e-05,0,-0.000157001,0.00479653
35,2,0.277344,0.0195312,1.00009,0.000103049,0,-0.00016138,0.00489272
36,2,0.285156,0.0195312,1.00008,0.000107129,0,-0.000165304,0.00497523
37,2,0.292969,0.0195312,1.00008,0.000111005,0,-0.000168728,0.00504313
38,2,0.300781,0.0195312,1.00007,0.000114633,0,-0.000171608,0.00509552
39,2,0.308594,0.0195312,1.00007,0.000117969,0,-0.000173901,0.0051315
40,2,0.316406,0.0195312,1.00006,0.000120963,0,-0.000175566,0.00515027
41,2,0.324219,0.0195312,1.00005,0.000123565,0,-0.000176566,0.00515101
42,2,0.332031,0.0195312,1.00004,0.000125723,0,-0.000176863,0.005133
43,2,0.339844,0.0195312,1.00003,0.000127383,0,-0.000176425,0.00509554
44,2,0.347656,0.0195312,1.00001,0.000128492,0,-0.00017522,0.005038
45,2,0.355469,0.0195312,1,0.000128994,0,-0.000173224,0.00495984
46,2,0.363281,0.0195312,0.999985,0.000128836,0,-0.000170413,0.00486057
47,2,0.371094,0.0195312,0.999971,0.000127967,0,-0.00016677,0.00473984
48,2,0.378906,0.0195312,0.999955,0.00012634,0,-0.000162282,0.00459736
49,2,0.386719,0.0195312,0.99994,0.000123912,0,-0.000156943,0.00443302
50,2,0.394531,0.0195312,0.999924,0.000120646,0,-0.000150753,0.0042468
51,2,0.402344,0.0195312,0.999908,0.000116514,0,-0.000143718,0.0040389
52,2,0.410156,0.0195312,0.999892,0.000111499,0,-0.000135853,0.00380966
53,2,0.417969,0.0195312,0.999876,0.000105593,0,-0.00012718,0.00355962
54,2,0.425781,0.0195312,0.999861,9.88019e-05,0,-0.000117729,0.00328956
55,2,0.433594,0.0195312,0.999847,9.11465e-05,0,-0.000107539,0.00300043
56,2,0.441406,0.0195312,0.999834,8.26614e-05,0,-9.66597e-05,0.00269346
