i,j,x,y,Bx,By,Bz,psi,divB_centered,normDivB_centered,divB_fv,normDivB_fv,divB_analytic_initial,Bmag
126,0,0.988281,0.00390625,1,4.53111e-23,0,0,3.35722e-21,2.62283e-23,0,0,-4.35411e-21,1
127,0,0.996094,0.00390625,1,2.09997e-23,0,0,1.55593e-21,1.21557e-23,0,0,-2.08356e-21,1
0,1,0.00390625,0.0117188,1,4.53111e-23,0,0,4.83723e-21,3.77909e-23,3.11185e-21,2.43114e-23,1.34163e-20,1
1,1,0.0117188,0.0117188,1,9.77677e-23,0,0,1.04373e-20,8.15414e-23,6.71445e-21,5.24566e-23,2.86429e-20,1
2,1,0.0195312,0.0117188,1,2.08394e-22,0,0,2.22473e-20,1.73807e-22,1.4312e-20,1.11812e-22,6.04017e-20,1
3,1,0.0273438,0.0117188,1,4.38807e-22,0,0,4.68453e-20,3.65979e-22,3.01362e-20,2.35439e-22,1.25814e-19,1
4,1,0.0351562,0.0117188,1,9.12767e-22,0,0,9.74435e-20,7.61277e-22,6.26866e-20,4.89739e-22,2.58855e-19,1
5,1,0.0429688,0.0117188,1,1.87562e-21,0,0,2.00234e-19,1.56433e-21,1.28813e-19,1.00635e-21,5.26053e-19,1
6,1,0.0507812,0.0117188,1,3.80741e-21,0,0,4.06464e-19,3.1755e-21,2.61483e-19,2.04284e-21,1.05596e-18,1
7,1,0.0585938,0.0117188,1,7.63505e-21,0,0,8.15088e-19,6.36788e-21,5.24357e-19,4.09654e-21,2.09367e-18,1
8,1,0.0664062,0.0117188,1,1.51249e-20,0,0,1.61468e-18,1.26147e-20,1.03874e-18,8.11517e-21,4.10027e-18,1
9,1,0.0742188,0.0117188,1,2.95987e-20,0,0,3.15984e-18,2.46863e-20,2.03277e-18,1.5881e-20,7.93152e-18,1
10,1,0.0820312,0.0117188,1,5.72203e-20,0,0,6.10862e-18,4.77236e-20,3.92975e-18,3.07012e-20,1.51544e-17,1
11,1,0.0898438,0.0117188,1,1.09277e-19,0,0,1.16659e-17,9.11402e-20,7.50485e-18,5.86316e-20,2.85997e-17,1
12,1,0.0976562,0.0117188,1,2.06159e-19,0,0,2.20087e-17,1.71943e-19,1.41585e-17,1.10613e-19,5.33114e-17,1
13,1,0.105469,0.0117188,1,3.84216e-19,0,0,4.10175e-17,3.20449e-19,2.63871e-17,2.06149e-19,9.81553e-17,1
14,1,0.113281,0.0117188,1,7.07373e-19,0,0,7.55164e-17,5.89972e-19,4.85806e-17,3.79536e-19,1.78501e-16,1
15,1,0.121094,0.0117188,1,1.28653e-18,0,0,1.37345e-16,1.07301e-18,8.83556e-17,6.90278e-19,3.20627e-16,1
16,1,0.128906,0.0117188,1,2.31147e-18,0,0,2.46764e-16,1.92784e-18,1.58746e-16,1.24021e-18,5.68839e-16,1
17,1,0.136719,0.0117188,1,4.10258e-18,0,0,4.37975e-16,3.42168e-18,2.81755e-16,2.20121e-18,9.96798e-16,1
18,1,0.144531,0.0117188,1,7.19322e-18,0,0,7.6792e-16,5.99937e-18,4.94013e-16,3.85947e-18,1.72525e-15,1
19,1,0.152344,0.0117188,1,1.24591e-17,0,0,1.33009e-15,1.03913e-17,8.55664e-16,6.68487e-18,2.94931e-15,1
20,1,0.160156,0.0117188,1,2.13183e-17,0,0,2.27586e-15,1.77801e-17,1.46409e-15,1.14382e-17,4.97981e-15,1
21,1,0.167969,0.0117188,1,3.60341e-17,0,0,1.80577e-14,1.41076e-16,2.47474e-15,1.93339e-17,8.30474e-15,1
22,1,0.175781,0.0117188,1,6.01693e-17,0,0,2.06343e-14,1.61205e-16,3.2554e-14,2.54328e-16,1.36791e-14,1
23,1,0.183594,0.0117188,1,9.92508e-17,0,0,1.05956e-14,8.27784e-17,6.8163e-15,5.32524e-17,2.22539e-14,1
24,1,0.191406,0.0117188,1,1.6173e-16,0,0,3.14766e-14,2.45911e-16,1.11073e-14,8.67755e-17,3.57576e-14,1
25,1,0.199219,0.0117188,1,2.60344e-16,0,0,7.04259e-14,5.50203e-16,4.63015e-14,3.61731e-16,5.67469e-14,1
26,1,0.207031,0.0117188,1,4.14003e-16,0,0,1.01041e-13,7.89381e-16,8.52761e-14,6.6622e-16,8.89459e-14,1
27,1,0.214844,0.0117188,1,6.50364e-16,0,0,1.40485e-13,1.09754e-15,1.01509e-13,7.93038e-16,1.37694e-13,1
28,1,0.222656,0.0117188,1,1.00927e-15,0,0,2.21433e-13,1.72995e-15,1.5458e-13,1.20765e-15,2.10528e-13,1
29,1,0.230469,0.0117188,1,1.54725e-15,0,0,3.35708e-13,2.62272e-15,2.4837e-13,1.94039e-15,3.17911e-13,1
30,1,0.238281,0.0117188,1,2.3432e-15,0,0,5.05946e-13,3.9527e-15,3.59877e-13,2.81154e-15,4.74131e-13,1
31,1,0.246094,0.0117188,1,3.50555e-15,0,0,7.43721e-13,5.81032e-15,5.53392e-13,4.32337e-15,6.98372e-13,1
32,1,0.253906,0.0117188,1,5.18087e-15,0,0,1.06468e-12,8.31782e-15,7.82135e-13,6.11043e-15,1.01594e-12,1
33,1,0.261719,0.0117188,1,7.56393e-15,0,0,1.53225e-12,1.19707e-14,1.11633e-12,8.72131e-15,1.4596e-12,1
34,1,0.269531,0.0117188,1,1.09091e-14,0,0,2.1878e-12,1.70922e-14,1.60187e-12,1.25146e-14,2.07103e-12,1
35,1,0.277344,0.0117188,1,1.55429e-14,0,0,3.06618e-12,2.39545e-14,2.26116e-12,1.76653e-14,2.90216e-12,1
36,1,0.285156,0.0117188,1,2.18763e-14,0,0,4.23968e-12,3.31225e-14,3.12245e-12,2.43941e-14,4.01635e-12,1
37,1,0.292969,0.0117188,1,3.04167e-14,0,0,5.79091e-12,4.52415e-14,4.27742e-12,3.34173e-14,5.48927e-12,1
38,1,0.300781,0.0117188,1,4.17782e-14,0,0,7.82805e-12,6.11567e-14,5.76824e-12,4.50644e-14,7.40911e-12,1
39,1,0.308594,0.0117188,1,5.66873e-14,0,0,1.04287e-11,8.1474e-14,7.73008e-12,6.03913e-14,9.876e-12,1
40,1,0.316406,0.0117188,1,7.59838e-14,0,0,1.3725e-11,1.07227e-13,1.01353e-11,7.91823e-14,1.30003e-11,1
41,1,0.324219,0.0117188,1,1.00613e-13,0,0,1.78607e-11,1.39537e-13,1.32195e-11,1.03277e-13,1.68998e-11,1
