i,j,x,y,Bx,By,Bz,psi,divB_centered,normDivB_centered,divB_fv,normDivB_fv,divB_analytic_initial,Bmag
105,0,0.824219,0.00390625,1.00012,6.0853e-05,0,0,0.000298998,2.33564e-06,-9.86632e-05,7.70713e-07,-8.49646e-16,1.00012
106,0,0.832031,0.00390625,1.00014,7.09905e-05,0,0,0.000205913,1.60847e-06,-0.000237423,1.85461e-06,-5.61024e-16,1.00014
107,0,0.839844,0.00390625,1.00016,8.2186e-05,0,0,7.34874e-05,5.74026e-07,-0.000417247,3.2592e-06,-3.62784e-16,1.00016
108,0,0.847656,0.00390625,1.00019,9.44239e-05,0,0,-0.000104427,8.15684e-07,-0.000643841,5.02906e-06,-2.30069e-16,1.00019
109,0,0.855469,0.00390625,1.00022,0.000107661,0,0,-0.000333735,2.60675e-06,-0.000922631,7.2065e-06,-1.43247e-16,1.00022
110,0,0.863281,0.00390625,1.00024,0.000121826,0,0,-0.000619818,4.84115e-06,-0.00125849,9.82958e-06,-8.7641e-17,1.00024
111,0,0.871094,0.00390625,1.00027,0.000136813,0,0,-0.000967228,7.5544e-06,-0.00165546,1.29298e-05,-5.27264e-17,1.00027
112,0,0.878906,0.00390625,1.0003,0.000152486,0,0,-0.00137938,1.07731e-05,-0.00211644,1.65296e-05,-3.12099e-17,1.0003
113,0,0.886719,0.00390625,1.00034,0.000168677,0,0,-0.00185823,1.45126e-05,-0.0026429,2.06407e-05,-1.81847e-17,1.00034
114,0,0.894531,0.00390625,1.00037,0.000185188,0,0,-0.00240404,1.87746e-05,-0.00323463,2.52612e-05,-1.04336e-17,1.00037
115,0,0.902344,0.00390625,1.0004,0.000201794,0,0,-0.00301506,2.35457e-05,-0.00388948,3.03743e-05,-5.89696e-18,1.0004
116,0,0.910156,0.00390625,1.00044,0.000218247,0,0,-0.00368744,2.87955e-05,-0.00460322,3.5947e-05,-3.28401e-18,1.00044
117,0,0.917969,0.00390625,1.00047,0.000234283,0,0,-0.00441507,3.44765e-05,-0.00536945,4.19292e-05,-1.80247e-18,1.00047
118,0,0.925781,0.00390625,1.0005,0.000249627,0,0,-0.00518959,4.05234e-05,-0.00617954,4.82536e-05,-9.75242e-19,1.0005
