i,j,x,y,Bx,By,Bz,psi,divB,normDivB,Bmag
96,1,0.753906,0.0117188,1.00209,0.00742717,0,0.00912057,-0.0460953,0.00035936,1.00212
97,1,0.761719,0.0117188,1.00235,0.00710908,0,0.00914106,-0.0517755,0.000403539,1.00237
98,1,0.769531,0.0117188,1.00258,0.00678059,0,0.00912681,-0.0573628,0.000446983,1.0026
99,1,0.777344,0.0117188,1.00279,0.00644359,0,0.0090771,-0.0627787,0.000489084,1.00281
100,1,0.785156,0.0117188,1.00297,0.00610015,0,0.00899164,-0.0679443,0.000529232,1.00299
101,1,0.792969,0.0117188,1.00312,0.00575242,0,0.00887058,-0.0727819,0.000566828,1.00314
102,1,0.800781,0.0117188,1.00325,0.00540267,0,0.00871452,-0.077217,0.000601295,1.00326
103,1,0.808594,0.0117188,1.00334,0.00505319,0,0.00852453,-0.0811796,0.000632093,1.00336
104,1,0.816406,0.0117188,1.00341,0.00470627,0,0.00830209,-0.0846059,0.000658729,1.00342
105,1,0.824219,0.0117188,1.00345,0.00436418,0,0.0080491,-0.0874397,0.000680768,1.00346
106,1,0.832031,0.0117188,1.00346,0.0040291,0,0.00776784,-0.0896335,0.000697842,1.00347
107,1,0.839844,0.0117188,1.00344,0.00370312,0,0.00746092,-0.0911495,0.000709656,1.00345
108,1,0.847656,0.0117188,1.00341,0.00338816,0,0.00713119,-0.0919603,0.000715998,1.00341
109,1,0.855469,0.0117188,1.00334,0.00308601,0,0.00678172,-0.0920491,0.000716734,1.00335
110,1,0.863281,0.0117188,1.00326,0.00279824,0,0.00641569,-0.0914098,0.000711815,1.00327
111,1,0.871094,0.0117188,1.00316,0.00252627,0,0.00603633,-0.0900468,0.00070127,1.00317
112,1,0.878906,0.0117188,1.00305,0.00227126,0,0.00564683,-0.0879742,0.000685207,1.00305
113,1,0.886719,0.0117188,1.00292,0.0020342,0,0.00525026,-0.0852148,0.000663798,1.00293
114,1,0.894531,0.0117188,1.00279,0.00181587,0,0.0048495,-0.0817996,0.000637279,1.00279
115,1,0.902344,0.0117188,1.00265,0.00161685,0,0.00444717,-0.0777657,0.000605935,1.00265
116,1,0.910156,0.0117188,1.00251,0.00143757,0,0.00404556,-0.0731554,0.000570093,1.00251
117,1,0.917969,0.0117188,1.00237,0.00127828,0,0.00364657,-0.0680148,0.000530107,1.00238
118,1,0.925781,0.0117188,1.00224,0.00113912,0,0.0032517,-0.0623925,0.000486351,1.00224
119,1,0.933594,0.0117188,1.00211,0.00102013,0,0.00286198,-0.0563379,0.000439211,1.00211
120,1,0.941406,0.0117188,1.002,0.00092126,0,0.00247802,-0.0499007,0.000389073,1.002
121,1,0.949219,0.0117188,1.00189,0.000842426,0,0.00209993,-0.0431298,0.000336316,1.00189
122,1,0.957031,0.0117188,1.0018,0.000783508,0,0.00172741,-0.0360727,0.000281312,1.0018
123,1,0.964844,0.0117188,1.00173,0.000744385,0,0.00135975,-0.0287754,0.000224421,1.00173
124,1,0.972656,0.0117188,1.00167,0.000724952,0,0.000995872,-0.0212822,0.00016599,1.00167
125,1,0.980469,0.0117188,1.00164,0.000725128,0,0.000634406,-0.013636,0.000106357,1.00164
126,1,0.988281,0.0117188,1.00162,0.000744866,0,0.000273746,-0.00587874,4.58532e-05,1.00162
127,1,0.996094,0.0117188,1.00163,0.000784158,0,-8.78662e-05,0.00194758,1.51907e-05,1.00163
0,2,0.00390625,0.0195312,1.00175,0.000884552,0,-0.000638751,0.0136876,0.000106748,1.00175
1,2,0.0117188,0.0195312,1.00182,0.00100237,0,-0.00101983,0.0215335,0.000167925,1.00182
2,2,0.0195312,0.0195312,1.00191,0.00113991,0,-0.00140929,0.0293088,0.000228538,1.00191
3,2,0.0273438,0.0195312,1.00203,0.00129718,0,-0.00180839,0.0369573,0.000288145,1.00203
4,2,0.0351562,0.0195312,1.00216,0.00147416,0,-0.00221809,0.044419,0.000346275,1.00216
5,2,0.0429688,0.0195312,1.00231,0.00167073,0,-0.00263892,0.0516295,0.000402424,1.00231
6,2,0.0507812,0.0195312,1.00248,0.00188664,0,-0.003071,0.0585204,0.000456059,1.00248
7,2,0.0585938,0.0195312,1.00266,0.0021215,0,-0.00351395,0.0650204,0.000506622,1.00266
