i,j,x,y,Bx,By,Bz,psi,divB,normDivB,Bmag
91,1,0.714844,0.0117188,1.00005,0.000256331,0,0.000138081,-0.00430424,3.36252e-05,1.00005
92,1,0.722656,0.0117188,1.00005,0.000235142,0,0.00013521,-0.00424266,3.31439e-05,1.00005
93,1,0.730469,0.0117188,1.00006,0.000215131,0,0.000131884,-0.0041674,3.25559e-05,1.00006
94,1,0.738281,0.0117188,1.00006,0.000196289,0,0.000128149,-0.00407947,3.18688e-05,1.00006
95,1,0.746094,0.0117188,1.00006,0.000178601,0,0.00012405,-0.00397986,3.10907e-05,1.00006
96,1,0.753906,0.0117188,1.00007,0.000162045,0,0.000119634,-0.00386963,3.02295e-05,1.00007
97,1,0.761719,0.0117188,1.00007,0.000146597,0,0.000114946,-0.00374982,2.92935e-05,1.00007
98,1,0.769531,0.0117188,1.00007,0.000132227,0,0.000110032,-0.00362151,2.82912e-05,1.00007
99,1,0.777344,0.0117188,1.00007,0.0001189,0,0.000104937,-0.00348579,2.72309e-05,1.00007
100,1,0.785156,0.0117188,1.00007,0.000106582,0,9.97063e-05,-0.00334376,2.61214e-05,1.00007
101,1,0.792969,0.0117188,1.00006,9.52319e-05,0,9.43816e-05,-0.00319649,2.4971e-05,1.00006
102,1,0.800781,0.0117188,1.00006,8.48096e-05,0,8.90047e-05,-0.00304509,2.37882e-05,1.00006
103,1,0.808594,0.0117188,1.00006,7.52719e-05,0,8.36147e-05,-0.00289062,2.25816e-05,1.00006
104,1,0.816406,0.0117188,1.00006,6.65746e-05,0,7.8249e-05,-0.00273413,2.13591e-05,1.00006
105,1,0.824219,0.0117188,1.00006,5.86726e-05,0,7.29421e-05,-0.00257663,2.01288e-05,1.00006
106,1,0.832031,0.0117188,1.00005,5.15202e-05,0,6.77259e-05,-0.00241912,1.88984e-05,1.00005
107,1,0.839844,0.0117188,1.00005,4.50716e-05,0,6.26292e-05,-0.00226251,1.76749e-05,1.00005
108,1,0.847656,0.0117188,1.00005,3.92812e-05,0,5.76776e-05,-0.00210766,1.64653e-05,1.00005
109,1,0.855469,0.0117188,1.00004,3.4104e-05,0,5.28933e-05,-0.00195538,1.52757e-05,1.00004
110,1,0.863281,0.0117188,1.00004,2.94957e-05,0,4.82949e-05,-0.00180638,1.41118e-05,1.00004
111,1,0.871094,0.0117188,1.00004,2.54133e-05,0,4.38974e-05,-0.00166129,1.29783e-05,1.00004
112,1,0.878906,0.0117188,1.00003,2.18154e-05,0,3.97121e-05,-0.00152065,1.18797e-05,1.00003
113,1,0.886719,0.0117188,1.00003,1.86622e-05,0,3.57466e-05,-0.00138489,1.08191e-05,1.00003
114,1,0.894531,0.0117188,1.00003,1.5916e-05,0,3.20047e-05,-0.00125434,9.79926e-06,1.00003
115,1,0.902344,0.0117188,1.00003,1.35415e-05,0,2.84867e-05,-0.00112922,8.82176e-06,1.00003
116,1,0.910156,0.0117188,1.00002,1.15056e-05,0,2.51892e-05,-0.00100962,7.88744e-06,1.00002
117,1,0.917969,0.0117188,1.00002,9.77817e-06,0,2.21056e-05,-0.000895532,6.99619e-06,1.00002
118,1,0.925781,0.0117188,1.00002,8.33189e-06,0,1.92261e-05,-0.000786836,6.14704e-06,1.00002
119,1,0.933594,0.0117188,1.00002,7.14242e-06,0,1.65376e-05,-0.000683293,5.33814e-06,1.00002
