i,j,x,y,Bx,By,Bz,psi,divB_centered,normDivB_centered,divB_fv,normDivB_fv,divB_analytic_initial,Bmag
89,0,0.699219,0.00390625,1.00006,0.0003614,0,0.000167626,-0.00496262,3.87682e-05,-0.00506379,3.95585e-05,3.78172e-13,1.00006
90,0,0.707031,0.00390625,1.00007,0.000336264,0,0.000165177,-0.00491985,3.84338e-05,-0.00501147,3.91495e-05,2.31276e-13,1.00007
91,0,0.714844,0.00390625,1.00007,0.00031215,0,0.000162166,-0.00486129,3.79761e-05,-0.00494464,3.86272e-05,1.34655e-13,1.00007
92,0,0.722656,0.00390625,1.00008,0.000289088,0,0.000158639,-0.00478785,3.74022e-05,-0.00486411,3.79979e-05,7.31602e-14,1.00008
93,0,0.730469,0.00390625,1.00008,0.000267094,0,0.00015464,-0.00470046,3.67194e-05,-0.00477069,3.7268e-05,3.55494e-14,1.00008
94,0,0.738281,0.00390625,1.00008,0.00024618,0,0.000150214,-0.00460011,3.59354e-05,-0.00466526,3.64443e-05,1.36936e-14,1.00008
95,0,0.746094,0.00390625,1.00009,0.000226348,0,0.00014541,-0.0044878,3.5058e-05,-0.00454869,3.55336e-05,1.87586e-15,1.00009
96,0,0.753906,0.00390625,1.00009,0.000207596,0,0.000140275,-0.00436456,3.40952e-05,-0.00442192,3.45433e-05,-3.80782e-15,1.00009
97,0,0.761719,0.00390625,1.00009,0.000189915,0,0.000134855,-0.00423144,3.30553e-05,-0.00428591,3.34807e-05,-5.93889e-15,1.00009
98,0,0.769531,0.00390625,1.00009,0.00017329,0,0.000129198,-0.00408952,3.19466e-05,-0.00414161,3.23535e-05,-6.16242e-15,1.00009
99,0,0.777344,0.00390625,1.00009,0.000157702,0,0.000123351,-0.00393988,3.07777e-05,-0.00399005,3.11696e-05,-5.48149e-15,1.00009
100,0,0.785156,0.00390625,1.00008,0.00014313,0,0.00011736,-0.00378362,2.9557e-05,-0.00383223,2.99367e-05,-4.47414e-15,1.00008
101,0,0.792969,0.00390625,1.00008,0.000129547,0,0.000111269,-0.00362184,2.82933e-05,-0.00366917,2.8663e-05,-3.4477e-15,1.00008
102,0,0.800781,0.00390625,1.00008,0.000116923,0,0.000105122,-0.00345564,2.6995e-05,-0.00350191,2.73565e-05,-2.54514e-15,1.00008
