step,time,L1,L2,Linf
328,0.328,0.0572009,0.0666718,0.0987585
329,0.329,0.0571222,0.0665246,0.09852
330,0.33,0.0570437,0.0663783,0.0982818
331,0.331,0.0569654,0.0662328,0.098044
332,0.332,0.0568873,0.0660881,0.0978066
333,0.333,0.0568094,0.0659442,0.0975694
334,0.334,0.0567318,0.0658011,0.0973327
335,0.335,0.0566543,0.0656588,0.0970963
336,0.336,0.0565769,0.0655173,0.0968625
337,0.337,0.0564998,0.0653766,0.0966301
338,0.338,0.0564228,0.0652366,0.096398
339,0.339,0.0563461,0.0650974,0.0961664
340,0.34,0.0562694,0.0649589,0.095935
341,0.341,0.056193,0.0648212,0.0957041
342,0.342,0.0561166,0.0646842,0.0954735
343,0.343,0.0560405,0.0645479,0.0952433
344,0.344,0.0559644,0.0644124,0.0950135
345,0.345,0.0558885,0.0642775,0.0947841
346,0.346,0.0558127,0.0641434,0.0945566
347,0.347,0.0557371,0.06401,0.0943312
348,0.348,0.0556615,0.0638773,0.0941061
349,0.349,0.0555861,0.0637452,0.0938815
350,0.35,0.0555108,0.0636138,0.0936572
351,0.351,0.0554355,0.0634831,0.0934334
352,0.352,0.0553604,0.063353,0.09321
353,0.353,0.0552853,0.0632236,0.0929871
354,0.354,0.0552104,0.0630949,0.0927646
355,0.355,0.0551355,0.0629668,0.0925425
356,0.356,0.0550606,0.0628393,0.0923213
357,0.357,0.0549858,0.0627124,0.0921031
358,0.358,0.0549111,0.0625862,0.0918854
359,0.359,0.0548364,0.0624606,0.0916681
360,0.36,0.0547618,0.0623355,0.0914513
361,0.361,0.0546872,0.0622111,0.091235
362,0.362,0.0546126,0.0620873,0.0910192
363,0.363,0.0545381,0.061964,0.0908039
364,0.364,0.0544636,0.0618413,0.0905891
365,0.365,0.0543891,0.0617192,0.0903748
366,0.366,0.0543145,0.0615977,0.090161
367,0.367,0.05424,0.0614767,0.0899487
368,0.368,0.0541655,0.0613562,0.0897386
369,0.369,0.054091,0.0612363,0.0895291
370,0.37,0.0540164,0.061117,0.0893201
371,0.371,0.0539418,0.0609981,0.0891116
372,0.372,0.0538672,0.0608798,0.0889037
373,0.373,0.0537926,0.060762,0.0886963
374,0.374,0.0537179,0.0606447,0.0884895
