step,time,dt,L1,L2,Linf,L1_norm,L2_norm,Linf_norm
127,0.248047,0.00195312,0.050722,0.0803148,0.284186,0.000393489,0.000621521,0.00218281
128,0.25,0.00195312,0.0508295,0.0801611,0.2824,0.000394353,0.000620408,0.00216997
129,0.251953,0.00195312,0.0509218,0.0800085,0.280631,0.000395098,0.0006193,0.00215431
130,0.253906,0.00195312,0.0510206,0.0798569,0.278673,0.000395892,0.000618198,0.00214121
131,0.255859,0.00195312,0.0511225,0.0797062,0.277072,0.000396709,0.0006171,0.00212945
132,0.257812,0.00195312,0.0512132,0.0795562,0.275124,0.000397439,0.000616005,0.00211534
133,0.259766,0.00195312,0.051302,0.0794068,0.273353,0.000398154,0.000614913,0.00210322
134,0.261719,0.00195312,0.0513941,0.0792579,0.271795,0.000398893,0.000613822,0.00208948
135,0.263672,0.00195312,0.0514834,0.0791092,0.270076,0.00039961,0.000612732,0.00207692
136,0.265625,0.00195312,0.0515663,0.0789608,0.268415,0.000400276,0.000611641,0.0020655
137,0.267578,0.00195312,0.0516435,0.0788122,0.266724,0.000400897,0.000610547,0.00205329
138,0.269531,0.00195312,0.0517218,0.0786635,0.265072,0.000401526,0.00060945,0.00204043
139,0.271484,0.00195312,0.0517988,0.0785145,0.263505,0.000402144,0.000608349,0.0020287
140,0.273438,0.00195312,0.0518687,0.0783648,0.262021,0.000402707,0.000607241,0.00201734
141,0.275391,0.00195312,0.0519274,0.0782145,0.260288,0.000403182,0.000606126,0.00200512
142,0.277344,0.00195312,0.0519964,0.0780631,0.258845,0.000403736,0.000605002,0.00199477
143,0.279297,0.00195312,0.052051,0.0779107,0.257343,0.000404179,0.000603868,0.00198169
144,0.28125,0.00195312,0.0521038,0.0777569,0.255719,0.000404606,0.000602722,0.00197128
145,0.283203,0.00195312,0.0521512,0.0776016,0.25444,0.000404991,0.000601562,0.00196096
146,0.285156,0.00195312,0.0521917,0.0774445,0.252837,0.000405322,0.000600388,0.00194935
147,0.287109,0.00195312,0.0522346,0.0772855,0.251421,0.000405671,0.000599196,0.00193932
148,0.289062,0.00195312,0.0522643,0.0771242,0.250044,0.000405918,0.000597987,0.00192811
149,0.291016,0.00195312,0.0522858,0.0769606,0.248639,0.0004061,0.000596757,0.00191712
150,0.292969,0.00195312,0.0523104,0.0767944,0.247273,0.000406305,0.000595507,0.00190739
151,0.294922,0.00195312,0.0523272,0.0766253,0.245902,0.00040645,0.000594232,0.00189751
152,0.296875,0.00195312,0.0523298,0.0764532,0.244448,0.000406485,0.000592934,0.00188656
153,0.298828,0.00195312,0.0523311,0.0762779,0.243123,0.000406508,0.000591609,0.00187715
154,0.300781,0.00195312,0.0523275,0.0760991,0.241932,0.000406493,0.000590256,0.00186694
155,0.302734,0.00195312,0.0523155,0.0759167,0.24047,0.000406413,0.000588875,0.00185629
156,0.304688,0.00195312,0.0522961,0.0757306,0.239322,0.000406274,0.000587463,0.0018481
157,0.306641,0.00195312,0.0522661,0.0755405,0.237961,0.000406054,0.00058602,0.00183739
158,0.308594,0.00195312,0.0522365,0.0753463,0.236629,0.000405836,0.000584544,0.0018285
159,0.310547,0.00195312,0.0521984,0.0751479,0.235554,0.000405551,0.000583035,0.001819
160,0.3125,0.00195312,0.0521412,0.0749453,0.23425,0.000405119,0.000581491,0.00180958
161,0.314453,0.00195312,0.0520903,0.0747382,0.233054,0.000404734,0.000579913,0.00180082
162,0.316406,0.00195312,0.0520272,0.0745268,0.231804,0.000404255,0.0005783,0.0017918
163,0.318359,0.00195312,0.051955,0.0743109,0.230645,0.000403705,0.000576652,0.00178187
