step,time,dt,L1,L2,Linf,L1_norm,L2_norm,Linf_norm
190,0.371094,0.00195312,0.0436577,0.161909,1.18805,0.000328477,0.00120673,0.00872202
191,0.373047,0.00195312,0.0436748,0.162048,1.18889,0.000328603,0.00120773,0.00872746
192,0.375,0.00195312,0.0437064,0.162187,1.19017,0.000328831,0.00120874,0.00873227
193,0.376953,0.00195312,0.0437298,0.162327,1.1945,0.000329001,0.00120975,0.0087434
194,0.378906,0.00195312,0.0437517,0.162466,1.19591,0.00032916,0.00121076,0.00877313
195,0.380859,0.00195312,0.0437819,0.162606,1.19445,0.000329378,0.00121177,0.00878199
196,0.382812,0.00195312,0.0438,0.162746,1.19796,0.000329511,0.00121279,0.00877036
197,0.384766,0.00195312,0.0438292,0.162887,1.19992,0.000329721,0.0012138,0.0087981
198,0.386719,0.00195312,0.0438561,0.163027,1.2006,0.000329916,0.00121482,0.00881097
199,0.388672,0.00195312,0.0438747,0.163168,1.20132,0.000330052,0.00121584,0.00881788
200,0.390625,0.00195312,0.0439064,0.16331,1.20286,0.000330281,0.00121687,0.0088218
201,0.392578,0.00195312,0.0439284,0.163451,1.20714,0.000330441,0.00121789,0.00883484
202,0.394531,0.00195312,0.0439528,0.163593,1.20844,0.000330617,0.00121892,0.00886419
203,0.396484,0.00195312,0.0439823,0.163735,1.20682,0.000330831,0.00121995,0.00887223
204,0.398438,0.00195312,0.0439997,0.163878,1.21066,0.000330959,0.00122098,0.00885938
205,0.400391,0.00195312,0.0440311,0.164021,1.21253,0.000331185,0.00122201,0.00888955
206,0.402344,0.00195312,0.0440568,0.164164,1.21341,0.000331372,0.00122305,0.00890171
207,0.404297,0.00195312,0.0440771,0.164307,1.21401,0.000331519,0.00122408,0.00891014
208,0.40625,0.00195312,0.0441087,0.16445,1.21581,0.000331748,0.00122512,0.00891315
209,0.408203,0.00195312,0.0441294,0.164594,1.22004,0.000331898,0.00122616,0.00892813
210,0.410156,0.00195312,0.0441564,0.164738,1.22123,0.000332093,0.00122721,0.00895708
211,0.412109,0.00195312,0.0441851,0.164883,1.21943,0.000332301,0.00122825,0.00896431
212,0.414062,0.00195312,0.0442031,0.165028,1.22361,0.000332433,0.0012293,0.00895022
213,0.416016,0.00195312,0.0442355,0.165173,1.22538,0.000332666,0.00123035,0.00898285
214,0.417969,0.00195312,0.0442598,0.165318,1.22648,0.000332844,0.0012314,0.00899428
215,0.419922,0.00195312,0.0442825,0.165464,1.22695,0.000333007,0.00123245,0.0090043
216,0.421875,0.00195312,0.0443135,0.16561,1.22902,0.000333232,0.00123351,0.00900637
217,0.423828,0.00195312,0.0443327,0.165756,1.2332,0.000333372,0.00123457,0.00902331
218,0.425781,0.00195312,0.0443625,0.165902,1.23427,0.000333587,0.00123563,0.00905187
219,0.427734,0.00195312,0.0443903,0.166049,1.23231,0.000333788,0.00123669,0.00905827
220,0.429688,0.00195312,0.0444097,0.166196,1.23683,0.00033393,0.00123775,0.00904498
221,0.431641,0.00195312,0.0444423,0.166344,1.2385,0.000334165,0.00123882,0.00907805
222,0.433594,0.00195312,0.0444653,0.166491,1.23982,0.000334333,0.00123989,0.00908874
223,0.435547,0.00195312,0.0444904,0.166639,1.24016,0.000334514,0.00124096,0.00910039
