step,time,dt,L1_centered,L2_centered,Linf_centered,L1_norm_centered,L2_norm_centered,Linf_norm_centered,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv
73,0.0139207,0.000190694,0.0358069,0.114329,0.71244,0.000271618,0.000860247,0.00527878,0.0358545,0.114585,0.727524,0.000271967,0.000862091,0.00537532
74,0.0141114,0.000190694,0.0357624,0.114045,0.709821,0.000271296,0.000858168,0.00526041,0.0358099,0.1143,0.724811,0.000271644,0.00086,0.0053553
75,0.0143021,0.000190694,0.0357181,0.113763,0.707216,0.000270975,0.000856099,0.00524214,0.0357653,0.114017,0.722113,0.000271321,0.00085792,0.00533539
76,0.0144928,0.000190694,0.035674,0.113482,0.704626,0.000270656,0.00085404,0.00522396,0.035721,0.113734,0.71943,0.000271,0.00085585,0.00531559
77,0.0146834,0.000190694,0.03563,0.113203,0.70205,0.000270337,0.000851991,0.00520588,0.0356768,0.113453,0.71676,0.00027068,0.000853789,0.0052959
78,0.0148741,0.000190694,0.0355862,0.112925,0.699488,0.00027002,0.000849952,0.00518789,0.0356328,0.113174,0.714105,0.00027036,0.000851739,0.00527631
79,0.0150648,0.000190694,0.0355426,0.112648,0.69694,0.000269703,0.000847922,0.00516999,0.0355889,0.112895,0.711465,0.000270042,0.000849698,0.00525683
80,0.0152555,0.000190694,0.0354991,0.112373,0.694406,0.000269388,0.000845903,0.00515218,0.0355452,0.112619,0.708838,0.000269726,0.000847668,0.00523745
81,0.0154462,0.000190694,0.0354558,0.112099,0.691886,0.000269074,0.000843893,0.00513446,0.0355016,0.112343,0.706226,0.00026941,0.000845647,0.00521817
82,0.0156369,0.000190694,0.0354126,0.111826,0.689379,0.000268761,0.000841893,0.00511684,0.0354583,0.112069,0.703627,0.000269095,0.000843636,0.005199
83,0.0158276,0.000190694,0.0353696,0.111555,0.686894,0.000268449,0.000839902,0.0050993,0.035415,0.111796,0.701042,0.000268782,0.000841634,0.00517993
84,0.0160183,0.000190694,0.0353268,0.111285,0.684546,0.000268139,0.000837921,0.00508185,0.035372,0.111525,0.698471,0.00026847,0.000839642,0.00516096
85,0.016209,0.000190694,0.0352841,0.111016,0.68221,0.000267829,0.000835949,0.00506449,0.0353291,0.111255,0.695913,0.000268158,0.00083766,0.0051421
86,0.0163997,0.000190694,0.0352416,0.110749,0.679886,0.00026752,0.000833986,0.00504722,0.0352863,0.110986,0.693369,0.000267848,0.000835686,0.00512333
87,0.0165904,0.000190694,0.0351992,0.110483,0.677574,0.000267213,0.000832033,0.00503004,0.0352437,0.110718,0.690839,0.000267539,0.000833723,0.00510466
88,0.0167811,0.000190694,0.0351569,0.110218,0.675273,0.000266906,0.000830089,0.00501294,0.0352013,0.110452,0.688322,0.000267231,0.000831768,0.0050861
89,0.0169718,0.000190694,0.0351149,0.109955,0.672983,0.000266601,0.000828154,0.00499593,0.035159,0.110187,0.685818,0.000266924,0.000829823,0.00506763
90,0.0171625,0.000190694,0.0350729,0.109692,0.670706,0.000266297,0.000826228,0.00497901,0.0351168,0.109923,0.683327,0.000266618,0.000827886,0.00504926
91,0.0173532,0.000190694,0.0350312,0.109431,0.668439,0.000265994,0.000824312,0.00496217,0.0350748,0.109661,0.680849,0.000266313,0.000825959,0.00503098
92,0.0175439,0.000190694,0.0349895,0.109172,0.666184,0.000265691,0.000822404,0.00494542,0.035033,0.109399,0.678385,0.00026601,0.000824041,0.0050128
93,0.0177346,0.000190694,0.0349481,0.108913,0.66394,0.00026539,0.000820505,0.00492875,0.0349913,0.109139,0.675933,0.000265707,0.000822132,0.00499472
