step,time,dt,L1,L2,Linf,L1_norm,L2_norm,Linf_norm
122,0.238281,0.00195312,0.0175724,0.0286376,0.0816749,0.000136227,0.000221693,0.000629764
123,0.240234,0.00195312,0.0175128,0.0284262,0.0806535,0.00013577,0.000220064,0.000621966
124,0.242188,0.00195312,0.0174538,0.0282182,0.0796555,0.000135317,0.00021846,0.000614427
125,0.244141,0.00195312,0.0173952,0.0280136,0.0786812,0.000134868,0.000216883,0.000607041
126,0.246094,0.00195312,0.0173372,0.0278122,0.0777304,0.000134423,0.00021533,0.000599811
127,0.248047,0.00195312,0.0172796,0.0276139,0.076803,0.000133982,0.000213802,0.000592737
128,0.25,0.00195312,0.0172225,0.0274188,0.0759084,0.000133544,0.000212297,0.00058582
129,0.251953,0.00195312,0.0171659,0.0272266,0.0750348,0.000133109,0.000210816,0.000579061
130,0.253906,0.00195312,0.0171097,0.0270374,0.0741813,0.000132678,0.000209357,0.000572459
131,0.255859,0.00195312,0.0170539,0.0268511,0.0733481,0.000132249,0.00020792,0.000566014
132,0.257812,0.00195312,0.0169985,0.0266676,0.0725348,0.000131824,0.000206505,0.000559725
133,0.259766,0.00195312,0.0169434,0.0264869,0.0717415,0.000131402,0.000205111,0.000553589
134,0.261719,0.00195312,0.0168888,0.0263088,0.0709679,0.000130983,0.000203738,0.000547607
135,0.263672,0.00195312,0.0168345,0.0261334,0.0702138,0.000130566,0.000202385,0.000541775
136,0.265625,0.00195312,0.0167805,0.0259605,0.0694833,0.000130151,0.000201051,0.000536092
137,0.267578,0.00195312,0.0167269,0.0257901,0.0687844,0.00012974,0.000199737,0.000530556
138,0.269531,0.00195312,0.0166736,0.0256222,0.068105,0.00012933,0.000198441,0.000525172
139,0.271484,0.00195312,0.0166206,0.0254566,0.0674443,0.000128923,0.000197164,0.000519988
140,0.273438,0.00195312,0.0165679,0.0252934,0.066802,0.000128518,0.000195905,0.000514941
141,0.275391,0.00195312,0.0165154,0.0251324,0.0661774,0.000128115,0.000194663,0.000510029
142,0.277344,0.00195312,0.0164632,0.0249737,0.06557,0.000127714,0.000193439,0.000505247
143,0.279297,0.00195312,0.0164113,0.0248171,0.0649793,0.000127315,0.000192231,0.000500682
144,0.28125,0.00195312,0.0163596,0.0246626,0.0644046,0.000126918,0.000191039,0.000496247
145,0.283203,0.00195312,0.0163081,0.0245103,0.0638454,0.000126522,0.000189864,0.000491931
146,0.285156,0.00195312,0.0162568,0.0243599,0.0633011,0.000126128,0.000188704,0.000487731
147,0.287109,0.00195312,0.0162058,0.0242115,0.0627711,0.000125736,0.000187559,0.000483641
148,0.289062,0.00195312,0.0161549,0.0240651,0.062255,0.000125345,0.000186429,0.000479659
149,0.291016,0.00195312,0.0161042,0.0239205,0.0617522,0.000124955,0.000185314,0.000475779
150,0.292969,0.00195312,0.0160537,0.0237778,0.0612737,0.000124566,0.000184213,0.000471997
151,0.294922,0.00195312,0.0160034,0.0236369,0.0608075,0.000124179,0.000183126,0.00046831
152,0.296875,0.00195312,0.0159532,0.0234978,0.0603523,0.000123793,0.000182052,0.000464713
153,0.298828,0.00195312,0.0159031,0.0233603,0.0599077,0.000123408,0.000180991,0.000461203
154,0.300781,0.00195312,0.0158532,0.0232246,0.059473,0.000123024,0.000179944,0.000457776
155,0.302734,0.00195312,0.0158034,0.0230905,0.0590525,0.000122641,0.000178909,0.000454439
156,0.304688,0.00195312,0.0157538,0.022958,0.0586429,0.000122258,0.000177887,0.000451236
157,0.306641,0.00195312,0.0157042,0.022827,0.0582418,0.000121877,0.000176876,0.000448145
158,0.308594,0.00195312,0.0156547,0.0226976,0.0578486,0.000121496,0.000175877,0.000445116
159,0.310547,0.00195312,0.0156053,0.0225697,0.057463,0.000121116,0.00017489,0.000442145
160,0.3125,0.00195312,0.0155561,0.0224433,0.0570846,0.000120736,0.000173914,0.00043923
161,0.314453,0.00195312,0.0155069,0.0223183,0.0567132,0.000120357,0.00017295,0.000436367
162,0.316406,0.00195312,0.0154577,0.0221946,0.0563482,0.000119979,0.000171995,0.000433556
163,0.318359,0.00195312,0.0154087,0.0220724,0.0559895,0.000119601,0.000171052,0.000430791
164,0.320312,0.00195312,0.0153597,0.0219514,0.0556366,0.000119223,0.000170118,0.000428073
165,0.322266,0.00195312,0.0153107,0.0218318,0.0552894,0.000118846,0.000169195,0.000425398
166,0.324219,0.00195312,0.0152618,0.0217135,0.0549475,0.000118469,0.000168282,0.000422764
167,0.326172,0.00195312,0.015213,0.0215964,0.0546107,0.000118093,0.000167378,0.000420169
168,0.328125,0.00195312,0.0151641,0.0214805,0.0542788,0.000117716,0.000166483,0.000417612
169,0.330078,0.00195312,0.0151154,0.0213658,0.0539515,0.00011734,0.000165598,0.00041509
170,0.332031,0.00195312,0.0150666,0.0212522,0.0536286,0.000116964,0.000164721,0.000412602
171,0.333984,0.00195312,0.0150179,0.0211398,0.0533099,0.000116588,0.000163853,0.000410147
172,0.335938,0.00195312,0.0149692,0.0210285,0.0529953,0.000116213,0.000162994,0.000407723
173,0.337891,0.00195312,0.0149205,0.0209183,0.0526845,0.000115837,0.000162143,0.000405328
174,0.339844,0.00195312,0.0148718,0.0208092,0.0523774,0.000115462,0.000161301,0.000402962
175,0.341797,0.00195312,0.0148232,0.0207011,0.0520738,0.000115086,0.000160466,0.000400623
176,0.34375,0.00195312,0.0147746,0.020594,0.0517736,0.000114711,0.000159639,0.000398311
