step,time,dt,L1_centered,L2_centered,Linf_centered,L1_norm_centered,L2_norm_centered,Linf_norm_centered,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv
66,0.0644531,0.000976562,0.0306391,0.0842192,0.427995,0.000234077,0.00063976,0.00321573,0.030676,0.0844539,0.447735,0.000234347,0.000641471,0.00335268
67,0.0654297,0.000976562,0.0304781,0.0833919,0.421645,0.000232897,0.000633663,0.00316774,0.0305147,0.0836253,0.440966,0.000233165,0.000635365,0.00330347
68,0.0664062,0.000976562,0.030318,0.0825759,0.415329,0.000231724,0.000627646,0.00312002,0.0303544,0.0828079,0.43424,0.00023199,0.000629339,0.00325578
69,0.0673828,0.000976562,0.030159,0.0817711,0.409048,0.000230558,0.00062171,0.00307258,0.0301952,0.082002,0.42756,0.000230822,0.000623395,0.00320837
70,0.0683594,0.000976562,0.0300011,0.0809776,0.402804,0.000229399,0.000615855,0.00302543,0.030037,0.0812073,0.421236,0.000229662,0.000617533,0.00316125
71,0.0693359,0.000976562,0.0298444,0.0801954,0.3966,0.000228248,0.000610082,0.00298326,0.0298801,0.080424,0.415021,0.00022851,0.000611753,0.00311443
72,0.0703125,0.000976562,0.0296887,0.0794244,0.390466,0.000227105,0.00060439,0.00294191,0.0297244,0.0796521,0.408846,0.000227366,0.000606053,0.00306851
73,0.0712891,0.000976562,0.0295342,0.0786647,0.38504,0.00022597,0.000598778,0.00290074,0.0295699,0.0788914,0.402714,0.000226231,0.000600436,0.00302705
74,0.0722656,0.000976562,0.029381,0.0779162,0.379638,0.000224844,0.000593247,0.00285977,0.0294166,0.078142,0.39677,0.000225105,0.000594899,0.00298579
75,0.0732422,0.000976562,0.0292289,0.0771789,0.374263,0.000223726,0.000587797,0.00281902,0.0292645,0.0774038,0.391344,0.000223987,0.000589443,0.00294475
76,0.0742188,0.000976562,0.0290781,0.0764527,0.368915,0.000222616,0.000582427,0.00277849,0.0291137,0.0766768,0.385946,0.000222877,0.000584068,0.00290394
77,0.0751953,0.000976562,0.0289285,0.0757374,0.363597,0.000221516,0.000577136,0.00273833,0.0289642,0.0759608,0.380579,0.000221777,0.000578772,0.00286336
78,0.0761719,0.000976562,0.0287803,0.0750331,0.35831,0.000220424,0.000571924,0.00270308,0.028816,0.0752558,0.375243,0.000220686,0.000573555,0.00282304
79,0.0771484,0.000976562,0.0286333,0.0743397,0.353222,0.000219342,0.00056679,0.00266795,0.0286691,0.0745617,0.36994,0.000219604,0.000568417,0.00278324
80,0.078125,0.000976562,0.0284876,0.073657,0.348623,0.000218268,0.000561733,0.00263295,0.0285237,0.0738783,0.364672,0.000218532,0.000563357,0.00274662
81,0.0791016,0.000976562,0.0283433,0.0729849,0.344042,0.000217204,0.000556753,0.00259809,0.0283795,0.0732057,0.359441,0.00021747,0.000558373,0.00271126
82,0.0800781,0.000976562,0.0282003,0.0723233,0.339478,0.00021615,0.000551849,0.00256339,0.0282368,0.0725436,0.354787,0.000216417,0.000553466,0.00267607
83,0.0810547,0.000976562,0.0280587,0.0716721,0.334934,0.000215105,0.00054702,0.00252884,0.0280953,0.0718918,0.35017,0.000215374,0.000548634,0.00264105
84,0.0820312,0.000976562,0.0279185,0.0710311,0.330412,0.00021407,0.000542265,0.00249502,0.0279553,0.0712504,0.345575,0.00021434,0.000543876,0.00260775
85,0.0830078,0.000976562,0.0277796,0.0704002,0.325912,0.000213044,0.000537583,0.00246487,0.0278166,0.0706191,0.341004,0.000213316,0.000539192,0.00257526
86,0.0839844,0.000976562,0.0276421,0.0697793,0.321627,0.000212028,0.000532973,0.00243501,0.0276793,0.0699979,0.336473,0.000212302,0.00053458,0.0025429
87,0.0849609,0.000976562,0.0275059,0.0691682,0.317724,0.000211022,0.000528434,0.00240522,0.0275436,0.0693864,0.332234,0.000211299,0.000530039,0.0025107
