step,time,dt,L1_centered,L2_centered,Linf_centered,L1_norm_centered,L2_norm_centered,Linf_norm_centered,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv
86,0.0839844,0.000976562,0.0260584,0.0608068,0.262566,0.000200651,0.000467005,0.00200584,0.026139,0.0610943,0.272351,0.000201261,0.000469157,0.00208128
87,0.0849609,0.000976562,0.0262256,0.0609585,0.260457,0.000201919,0.000468056,0.00199055,0.0263151,0.0612486,0.270263,0.000202597,0.000470228,0.00206479
88,0.0859375,0.000976562,0.0264092,0.0611474,0.258725,0.000203313,0.000469383,0.00197813,0.0264988,0.0614398,0.268266,0.000203992,0.000471574,0.00204957
89,0.0869141,0.000976562,0.0266063,0.0613713,0.257058,0.000204808,0.000470973,0.00196614,0.026692,0.0616659,0.269707,0.000205459,0.000473182,0.00203675
90,0.0878906,0.000976562,0.0268046,0.061628,0.255498,0.000206315,0.000472809,0.0019545,0.026893,0.0619248,0.278881,0.000206986,0.000475035,0.00206946
91,0.0888672,0.000976562,0.0270117,0.0619153,0.26363,0.000207889,0.000474876,0.00195521,0.0270987,0.0622141,0.287754,0.000208549,0.000477119,0.00213598
92,0.0898438,0.000976562,0.0272198,0.0622311,0.27249,0.000209471,0.000477158,0.00202332,0.0273137,0.0625317,0.296326,0.000210184,0.000479416,0.00220031
93,0.0908203,0.000976562,0.0274429,0.062573,0.281274,0.000211168,0.00047964,0.00208921,0.0275338,0.0628753,0.304595,0.000211859,0.000481911,0.00226243
94,0.0917969,0.000976562,0.0276689,0.0629391,0.289754,0.000212888,0.000482304,0.00215288,0.0277618,0.063243,0.312562,0.000213595,0.00048459,0.00232234
95,0.0927734,0.000976562,0.0279024,0.063327,0.297928,0.000214666,0.000485137,0.00221432,0.0279915,0.0636324,0.320226,0.000215344,0.000487435,0.00238004
96,0.09375,0.000976562,0.0281366,0.0637349,0.305797,0.00021645,0.000488123,0.00227352,0.0282256,0.0640416,0.327587,0.000217128,0.000490432,0.00243552
97,0.0947266,0.000976562,0.0283664,0.0641606,0.313361,0.000218202,0.000491248,0.0023305,0.0284644,0.0644685,0.334646,0.000218948,0.000493567,0.00248879
98,0.0957031,0.000976562,0.02861,0.0646021,0.32062,0.000220059,0.000494496,0.00238523,0.0287056,0.0649112,0.341417,0.000220788,0.000496825,0.00254264
99,0.0966797,0.000976562,0.0288594,0.0650576,0.327574,0.000221962,0.000497854,0.00243773,0.0289532,0.0653677,0.348736,0.000222677,0.000500192,0.00259466
100,0.0976562,0.000976562,0.0291112,0.0655253,0.334224,0.000223884,0.000501308,0.00248801,0.0292019,0.0658362,0.35575,0.000224576,0.000503654,0.00264705
101,0.0986328,0.000976562,0.0293601,0.0660034,0.340572,0.000225785,0.000504846,0.00253605,0.029451,0.066315,0.362461,0.000226479,0.000507199,0.00269774
102,0.0996094,0.000976562,0.0296067,0.0664902,0.346619,0.000227669,0.000508455,0.00258188,0.0297029,0.0668025,0.368869,0.000228404,0.000510814,0.0027462
103,0.100586,0.000976562,0.0298577,0.0669841,0.352709,0.000229589,0.000512123,0.00262662,0.0299542,0.0672969,0.374976,0.000230325,0.000514487,0.00279245
104,0.101562,0.000976562,0.0301158,0.0674837,0.358985,0.000231562,0.000515839,0.00267411,0.03021,0.0677969,0.380782,0.000232282,0.000518208,0.00283648
105,0.102539,0.000976562,0.0303736,0.0679874,0.364961,0.000233535,0.000519592,0.00271938,0.030468,0.068301,0.38629,0.000234256,0.000521965,0.00288106
106,0.103516,0.000976562,0.0306317,0.068494,0.370639,0.000235511,0.000523373,0.00276247,0.0307255,0.0688078,0.391778,0.000236228,0.000525748,0.00292373
107,0.104492,0.000976562,0.0308895,0.0690021,0.376021,0.000237486,0.00052717,0.00280336,0.0309823,0.069316,0.397098,0.000238195,0.000529548,0.00296422
108,0.105469,0.000976562,0.0311455,0.0695105,0.381108,0.000239448,0.000530976,0.00284208,0.0312385,0.0698245,0.402125,0.000240159,0.000533355,0.00300256
109,0.106445,0.000976562,0.0313992,0.0700182,0.385903,0.000241393,0.000534782,0.00287864,0.0314954,0.0703322,0.406862,0.000242129,0.000537162,0.00303875
110,0.107422,0.000976562,0.0316557,0.0705241,0.390408,0.000243361,0.000538579,0.00291306,0.0317521,0.0708379,0.41131,0.000244098,0.000540959,0.0030728
111,0.108398,0.000976562,0.0319138,0.0710271,0.394625,0.000245343,0.000542361,0.00294534,0.0320104,0.0713408,0.415473,0.000246081,0.00054474,0.00310474
112,0.109375,0.000976562,0.0321751,0.0715265,0.398557,0.000247348,0.00054612,0.00297551,0.0322677,0.0718398,0.419353,0.000248057,0.000548498,0.00313457
113,0.110352,0.000976562,0.032433,0.0720212,0.402206,0.00024933,0.00054985,0.00300359,0.0325243,0.0723343,0.422953,0.000250028,0.000552227,0.00316233
114,0.111328,0.000976562,0.0326863,0.0725107,0.405577,0.000251277,0.000553544,0.00302959,0.0327788,0.0728233,0.426275,0.000251985,0.000555919,0.00318802
115,0.112305,0.000976562,0.0329352,0.072994,0.408671,0.000253191,0.000557198,0.00305354,0.0330299,0.0733061,0.429323,0.000253916,0.00055957,0.00321168
116,0.113281,0.000976562,0.0331829,0.0734706,0.411492,0.000255097,0.000560806,0.00307719,0.033282,0.0737822,0.4321,0.000255856,0.000563175,0.00323331
117,0.114258,0.000976562,0.0334374,0.0739399,0.414201,0.000257056,0.000564363,0.00310021,0.033533,0.0742508,0.435342,0.000257788,0.000566729,0.0032557
118,0.115234,0.000976562,0.033692,0.0744012,0.417293,0.000259017,0.000567865,0.00312124,0.0337844,0.0747116,0.438385,0.000259725,0.000570227,0.00327927
