step,time,dt,L1_centered,L2_centered,Linf_centered,L1_norm_centered,L2_norm_centered,Linf_norm_centered,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv
99,0.0966797,0.000976562,0.0262038,0.0631453,0.280427,0.000201383,0.00048359,0.00213084,0.026247,0.0633654,0.291792,0.000201701,0.00048521,0.00221241
100,0.0976562,0.000976562,0.0260889,0.0626515,0.277425,0.000200531,0.000479903,0.0021078,0.0261328,0.0628716,0.288444,0.000200854,0.000481524,0.00218686
101,0.0986328,0.000976562,0.0259754,0.0621651,0.274417,0.000199688,0.00047627,0.00208474,0.02602,0.0623853,0.285101,0.000200016,0.000477892,0.00216286
102,0.0996094,0.000976562,0.0258632,0.0616859,0.271407,0.000198855,0.000472689,0.00206179,0.0259085,0.0619062,0.281765,0.000199188,0.000474312,0.0021391
103,0.100586,0.000976562,0.0257524,0.0612139,0.268394,0.000198031,0.00046916,0.00203978,0.0257984,0.0614343,0.278498,0.000198369,0.000470785,0.00211587
104,0.101562,0.000976562,0.0256428,0.0607488,0.265381,0.000197216,0.000465682,0.00201774,0.0256895,0.0609694,0.275541,0.00019756,0.000467308,0.00209349
105,0.102539,0.000976562,0.0255345,0.0602906,0.262454,0.000196411,0.000462254,0.00199638,0.025582,0.0605112,0.272617,0.000196761,0.000463881,0.0020711
106,0.103516,0.000976562,0.0254275,0.059839,0.259595,0.000195615,0.000458873,0.00197648,0.0254758,0.0600598,0.269691,0.00019597,0.000460502,0.00204871
107,0.104492,0.000976562,0.0253218,0.0593939,0.257,0.000194828,0.000455541,0.00195653,0.025371,0.059615,0.266765,0.00019519,0.000457171,0.00202765
108,0.105469,0.000976562,0.0252174,0.0589552,0.254397,0.00019405,0.000452255,0.00193652,0.0252674,0.0591765,0.263841,0.000194419,0.000453887,0.00200674
109,0.106445,0.000976562,0.0251142,0.0585228,0.251788,0.000193282,0.000449014,0.00191648,0.0251651,0.0587443,0.26098,0.000193657,0.000450648,0.00198581
110,0.107422,0.000976562,0.0250123,0.0580965,0.249174,0.000192522,0.000445818,0.00189673,0.0250639,0.0583182,0.258248,0.000192903,0.000447454,0.00196488
111,0.108398,0.000976562,0.0249116,0.0576762,0.246556,0.000191772,0.000442665,0.00187752,0.0249641,0.0578981,0.255515,0.000192159,0.000444303,0.00194395
112,0.109375,0.000976562,0.0248121,0.0572617,0.243937,0.00019103,0.000439555,0.00185827,0.0248655,0.0574839,0.252783,0.000191424,0.000441195,0.00192304
113,0.110352,0.000976562,0.0247138,0.056853,0.241413,0.000190297,0.000436487,0.001839,0.0247682,0.0570754,0.250054,0.000190698,0.00043813,0.00190277
114,0.111328,0.000976562,0.0246168,0.0564499,0.238901,0.000189572,0.00043346,0.00182102,0.0246722,0.0566726,0.24739,0.000189982,0.000435105,0.00188437
115,0.112305,0.000976562,0.0245209,0.0560523,0.236484,0.000188857,0.000430472,0.0018036,0.0245773,0.0562752,0.244824,0.000189274,0.00043212,0.00186592
