x,rho,u,v,w,p,Bx,By,Bz
-3.1375000000e-01,1.0161616830e+00,-1.8770313104e-02,-4.1886015329e-02,0.0000000000e+00,1.0311817293e+00,7.8590631489e-01,9.9516296449e-01,0.0000000000e+00
-3.1125000000e-01,1.0156372390e+00,-1.9358214335e-02,-4.3254258419e-02,0.0000000000e+00,1.0300254406e+00,7.8479563983e-01,9.9541585734e-01,0.0000000000e+00
-3.0875000000e-01,1.0150960058e+00,-1.9930519540e-02,-4.4581209523e-02,0.0000000000e+00,1.0288361046e+00,7.8365062568e-01,9.9567153953e-01,0.0000000000e+00
-3.0625000000e-01,1.0145386158e+00,-2.0486645202e-02,-4.5865521792e-02,0.0000000000e+00,1.0276154314e+00,7.8247240242e-01,9.9592948002e-01,0.0000000000e+00
-3.0375000000e-01,1.0139657508e+00,-2.1025960685e-02,-4.7105898306e-02,0.0000000000e+00,1.0263652252e+00,7.8126213282e-01,9.9618918668e-01,0.0000000000e+00
-3.0125000000e-01,1.0133781360e+00,-2.1547797535e-02,-4.8301091164e-02,0.0000000000e+00,1.0250873698e+00,7.8002101127e-01,9.9645020212e-01,0.0000000000e+00
-2.9875000000e-01,1.0127765328e+00,-2.2051460452e-02,-4.9449900123e-02,0.0000000000e+00,1.0237838129e+00,7.7875026260e-01,9.9671209833e-01,0.0000000000e+00
-2.9625000000e-01,1.0121617320e+00,-2.2536239027e-02,-5.0551171004e-02,0.0000000000e+00,1.0224565491e+00,7.7745114090e-01,9.9697447079e-01,0.0000000000e+00
-2.9375000000e-01,1.0115345462e+00,-2.3001419430e-02,-5.1603794136e-02,0.0000000000e+00,1.0211076037e+00,7.7612492824e-01,9.9723693261e-01,0.0000000000e+00
-2.9125000000e-01,1.0108958029e+00,-2.3446295301e-02,-5.2606703030e-02,0.0000000000e+00,1.0197390167e+00,7.7477293342e-01,9.9749910901e-01,0.0000000000e+00
-2.8875000000e-01,1.0102463382e+00,-2.3870177282e-02,-5.3558873446e-02,0.0000000000e+00,1.0183528285e+00,7.7339649071e-01,9.9776063270e-01,0.0000000000e+00
-2.8625000000e-01,1.0095869915e+00,-2.4272400775e-02,-5.4459322977e-02,0.0000000000e+00,1.0169510679e+00,7.7199695849e-01,9.9802114023e-01,0.0000000000e+00
-2.8375000000e-01,1.0089186012e+00,-2.4652331703e-02,-5.5307111187e-02,0.0000000000e+00,1.0155357418e+00,7.7057571793e-01,9.9828026930e-01,0.0000000000e+00
-2.8125000000e-01,1.0082420006e+00,-2.5009370125e-02,-5.6101340361e-02,0.0000000000e+00,1.0141088260e+00,7.6913417162e-01,9.9853765705e-01,0.0000000000e+00
-2.7875000000e-01,1.0075580153e+00,-2.5342951648e-02,-5.6841156858e-02,0.0000000000e+00,1.0126722586e+00,7.6767374219e-01,9.9879293903e-01,0.0000000000e+00
-2.7625000000e-01,1.0068674599e+00,-2.5652546540e-02,-5.7525753083e-02,0.0000000000e+00,1.0112279334e+00,7.6619587091e-01,9.9904574841e-01,0.0000000000e+00
-2.7375000000e-01,1.0061711358e+00,-2.5937656326e-02,-5.8154370148e-02,0.0000000000e+00,1.0097776927e+00,7.6470201626e-01,9.9929571492e-01,0.0000000000e+00
-2.7125000000e-01,1.0054698266e+00,-2.6197807431e-02,-5.8726301313e-02,0.0000000000e+00,1.0083233199e+00,7.6319365250e-01,9.9954246286e-01,0.0000000000e+00
-2.6875000000e-01,1.0047642941e+00,-2.6432541074e-02,-5.9240896432e-02,0.0000000000e+00,1.0068665283e+00,7.6167226819e-01,9.9978560717e-01,0.0000000000e+00
-2.6625000000e-01,1.0040552695e+00,-2.6641398139e-02,-5.9697567759e-02,0.0000000000e+00,1.0054089455e+00,7.6013936477e-01,1.0000247464e+00,0.0000000000e+00
-2.6375000000e-01,1.0033434429e+00,-2.6823897126e-02,-6.0095797619e-02,0.0000000000e+00,1.0039520906e+00,7.5859645501e-01,1.0002594511e+00,0.0000000000e+00
-2.6125000000e-01,1.0026294465e+00,-2.6979502520e-02,-6.0435148701e-02,0.0000000000e+00,1.0024973406e+00,7.5704506160e-01,1.0004892453e+00,0.0000000000e+00
-2.5875000000e-01,1.0019138299e+00,-2.7107580004e-02,-6.0715277954e-02,0.0000000000e+00,1.0010458823e+00,7.5548671555e-01,1.0007135792e+00,0.0000000000e+00
-2.5625000000e-01,1.0011970265e+00,-2.7207333994e-02,-6.0935955340e-02,0.0000000000e+00,9.9959864473e-01,7.5392295479e-01,1.0009317893e+00,0.0000000000e+00
-2.5375000000e-01,1.0004793059e+00,-2.7277721966e-02,-6.1097088974e-02,0.0000000000e+00,9.9815620560e-01,7.5235532254e-01,1.0011430422e+00,0.0000000000e+00
-2.5125000000e-01,9.9976071006e-01,-2.7317339259e-02,-6.1198758398e-02,0.0000000000e+00,9.9671866528e-01,7.5078536587e-01,1.0013462585e+00,0.0000000000e+00
-2.4875000000e-01,9.9904096804e-01,-2.7324265163e-02,-6.1241256249e-02,0.0000000000e+00,9.9528547849e-01,7.4921463413e-01,1.0015400117e+00,0.0000000000e+00
-2.4625000000e-01,9.9831939319e-01,-2.7295869161e-02,-6.1225143329e-02,0.0000000000e+00,9.9385525278e-01,7.4764467746e-01,1.0017223976e+00,0.0000000000e+00
-2.4375000000e-01,9.9759473998e-01,-2.7228576727e-02,-6.1151324523e-02,0.0000000000e+00,9.9242546717e-01,7.4607704521e-01,1.0018908703e+00,0.0000000000e+00
