x,rho,u,v,w,p,Bx,By,Bz
-3.2625000000e-01,9.9407804830e-01,3.6765931404e-04,-9.2381425831e-03,0.0000000000e+00,1.0337877436e+00,7.2963051674e-01,9.8138371952e-01,0.0000000000e+00
-3.2375000000e-01,9.9432618545e-01,1.6845428483e-03,-9.2889989108e-03,0.0000000000e+00,1.0335664319e+00,7.2966070806e-01,9.8181383825e-01,0.0000000000e+00
-3.2125000000e-01,9.9461362520e-01,3.0541476015e-03,-9.3602906537e-03,0.0000000000e+00,1.0333700736e+00,7.2972905958e-01,9.8230678353e-01,0.0000000000e+00
-3.1875000000e-01,9.9493666002e-01,4.4680016169e-03,-9.4520076490e-03,0.0000000000e+00,1.0331893800e+00,7.2983817548e-01,9.8285868549e-01,0.0000000000e+00
-3.1625000000e-01,9.9529038278e-01,5.9156053009e-03,-9.5636690897e-03,0.0000000000e+00,1.0330127688e+00,7.2999067685e-01,9.8346437375e-01,0.0000000000e+00
-3.1375000000e-01,9.9566892877e-01,7.3847742989e-03,-9.6943163231e-03,0.0000000000e+00,1.0328267474e+00,7.3018911096e-01,9.8411753536e-01,0.0000000000e+00
-3.1125000000e-01,9.9606569442e-01,8.8620697392e-03,-9.8425439007e-03,0.0000000000e+00,1.0326164478e+00,7.3043585192e-01,9.8481093611e-01,0.0000000000e+00
-3.0875000000e-01,9.9647359745e-01,1.0333304047e-02,-1.0006552076e-02,0.0000000000e+00,1.0323662498e+00,7.3073299821e-01,9.8553669351e-01,0.0000000000e+00
-3.0625000000e-01,9.9688536205e-01,1.1784089556e-02,-1.0184215169e-02,0.0000000000e+00,1.0320604538e+00,7.3108227377e-01,9.8628658213e-01,0.0000000000e+00
-3.0375000000e-01,9.9729381138e-01,1.3200394126e-02,-1.0373160476e-02,0.0000000000e+00,1.0316839588e+00,7.3148493923e-01,9.8705235042e-01,0.0000000000e+00
-3.0125000000e-01,9.9769214439e-01,1.4569067908e-02,-1.0570852710e-02,0.0000000000e+00,1.0312229023e+00,7.3194171965e-01,9.8782602867e-01,0.0000000000e+00
-2.9875000000e-01,9.9807419055e-01,1.5878308423e-02,-1.0774679231e-02,0.0000000000e+00,1.0306652217e+00,7.3245275377e-01,9.8860020897e-01,0.0000000000e+00
-2.9625000000e-01,9.9843461333e-01,1.7118036872e-02,-1.0982031655e-02,0.0000000000e+00,1.0300011032e+00,7.3301756855e-01,9.8936828119e-01,0.0000000000e+00
-2.9375000000e-01,9.9876906192e-01,1.8280166305e-02,-1.1190379928e-02,0.0000000000e+00,1.0292232946e+00,7.3363508046e-01,9.9012461272e-01,0.0000000000e+00
-2.9125000000e-01,9.9907426153e-01,1.9358751264e-02,-1.1397335670e-02,0.0000000000e+00,1.0283272699e+00,7.3430362331e-01,9.9086466459e-01,0.0000000000e+00
-2.8875000000e-01,9.9934804207e-01,2.0350017870e-02,-1.1600702452e-02,0.0000000000e+00,1.0273112429e+00,7.3502099998e-01,9.9158504156e-01,0.0000000000e+00
-2.8625000000e-01,9.9958930477e-01,2.1252282200e-02,-1.1798511662e-02,0.0000000000e+00,1.0261760431e+00,7.3578455418e-01,9.9228347881e-01,0.0000000000e+00
-2.8375000000e-01,9.9979794141e-01,2.2065772469e-02,-1.1989043696e-02,0.0000000000e+00,1.0249248712e+00,7.3659125675e-01,9.9295877214e-01,0.0000000000e+00
-2.8125000000e-01,9.9997471200e-01,2.2792376289e-02,-1.2170835208e-02,0.0000000000e+00,1.0235629636e+00,7.3743780045e-01,9.9361066221e-01,0.0000000000e+00
-2.7875000000e-01,1.0001210915e+00,2.3435337741e-02,-1.2342674050e-02,0.0000000000e+00,1.0220971949e+00,7.3832069731e-01,9.9423968550e-01,0.0000000000e+00
-2.7625000000e-01,1.0002391030e+00,2.3998929849e-02,-1.2503584147e-02,0.0000000000e+00,1.0205356534e+00,7.3923637248e-01,9.9484700565e-01,0.0000000000e+00
-2.7375000000e-01,1.0003311490e+00,2.4488128891e-02,-1.2652802986e-02,0.0000000000e+00,1.0188872154e+00,7.4018125010e-01,9.9543423798e-01,0.0000000000e+00
-2.7125000000e-01,1.0003998451e+00,2.4908306184e-02,-1.2789755670e-02,0.0000000000e+00,1.0171611506e+00,7.4115182722e-01,9.9600327953e-01,0.0000000000e+00
-2.6875000000e-01,1.0004478797e+00,2.5264960191e-02,-1.2914026684e-02,0.0000000000e+00,1.0153667702e+00,7.4214473361e-01,9.9655615272e-01,0.0000000000e+00
-2.6625000000e-01,1.0004778860e+00,2.5563499974e-02,-1.3025332968e-02,0.0000000000e+00,1.0135131305e+00,7.4315677623e-01,9.9709486857e-01,0.0000000000e+00
-2.6375000000e-01,1.0004923390e+00,2.5809085206e-02,-1.3123500750e-02,0.0000000000e+00,1.0116087993e+00,7.4418496879e-01,9.9762131265e-01,0.0000000000e+00
-2.6125000000e-01,1.0004934770e+00,2.6006526374e-02,-1.3208447933e-02,0.0000000000e+00,1.0096616801e+00,7.4522654725e-01,9.9813715286e-01,0.0000000000e+00
-2.5875000000e-01,1.0004832385e+00,2.6160244952e-02,-1.3280173734e-02,0.0000000000e+00,1.0076788856e+00,7.4627897330e-01,9.9864376563e-01,0.0000000000e+00
-2.5625000000e-01,1.0004632135e+00,2.6274291462e-02,-1.3338757095e-02,0.0000000000e+00,1.0056666469e+00,7.4733992809e-01,9.9914217461e-01,0.0000000000e+00
-2.5375000000e-01,1.0004346061e+00,2.6352418831e-02,-1.3384365343e-02,0.0000000000e+00,1.0036302432e+00,7.4840729860e-01,9.9963299424e-01,0.0000000000e+00
-2.5125000000e-01,1.0003981874e+00,2.6398208910e-02,-1.3417274676e-02,0.0000000000e+00,1.0015739333e+00,7.4947915900e-01,1.0001163693e+00,0.0000000000e+00
-2.4875000000e-01,1.0003542428e+00,2.6415251238e-02,-1.3437904158e-02,0.0000000000e+00,9.9950087055e-01,7.5055374940e-01,1.0005919008e+00,0.0000000000e+00
-2.4625000000e-01,1.0003025015e+00,2.6407374462e-02,-1.3446865067e-02,0.0000000000e+00,9.9741298410e-01,7.5162945340e-01,1.0010585490e+00,0.0000000000e+00
-2.4375000000e-01,1.0002420335e+00,2.6378931703e-02,-1.3445027353e-02,0.0000000000e+00,9.9531081176e-01,7.5270477631e-01,1.0015145045e+00,0.0000000000e+00
-2.4125000000e-01,1.0001711301e+00,2.6335141022e-02,-1.3433604689e-02,0.0000000000e+00,9.9319327216e-01,7.5377832473e-01,1.0019570207e+00,0.0000000000e+00
-2.3875000000e-01,1.0000871358e+00,2.6282480232e-02,-1.3414258694e-02,0.0000000000e+00,9.9105737105e-01,7.5484878829e-01,1.0023822041e+00,0.0000000000e+00
-2.3625000000e-01,9.9998625284e-01,2.6229131274e-02,-1.3389221569e-02,0.0000000000e+00,9.8889784312e-01,7.5591492394e-01,1.0027847622e+00,0.0000000000e+00
-2.3375000000e-01,9.9986331749e-01,2.6185462923e-02,-1.3361434278e-02,0.0000000000e+00,9.8670674072e-01,7.5697554273e-01,1.0031577146e+00,0.0000000000e+00
-2.3125000000e-01,9.9971155194e-01,2.6164531872e-02,-1.3334694646e-02,0.0000000000e+00,9.8447299214e-01,7.5802949918e-01,1.0034920825e+00,0.0000000000e+00
-2.2875000000e-01,9.9952232830e-01,2.6182572001e-02,-1.3313806648e-02,0.0000000000e+00,9.8218196471e-01,7.5907568283e-01,1.0037765751e+00,0.0000000000e+00
-2.2625000000e-01,9.9928494559e-01,2.6259431174e-02,-1.3304718811e-02,0.0000000000e+00,9.7981508014e-01,7.6011301189e-01,1.0039973040e+00,0.0000000000e+00
-2.2375000000e-01,9.9898646166e-01,2.6418906138e-02,-1.3314636886e-02,0.0000000000e+00,9.7734953928e-01,7.6114042850e-01,1.0041375603e+00,0.0000000000e+00
-2.2125000000e-01,9.9861161029e-01,2.6688921339e-02,-1.3352094298e-02,0.0000000000e+00,9.7475821826e-01,7.6215689543e-01,1.0041776945e+00,0.0000000000e+00
-2.1875000000e-01,9.9814283042e-01,2.7101499036e-02,-1.3426963982e-02,0.0000000000e+00,9.7200979569e-01,7.6316139390e-01,1.0040951379e+00,0.0000000000e+00
-2.1625000000e-01,9.9756043674e-01,2.7692477674e-02,-1.3550397767e-02,0.0000000000e+00,9.6906915858e-01,7.6415292219e-01,1.0038645988e+00,0.0000000000e+00
-2.1375000000e-01,9.9684294927e-01,2.8500953617e-02,-1.3734684455e-02,0.0000000000e+00,9.6589811338e-01,7.6513049496e-01,1.0034584526e+00,0.0000000000e+00
-2.1125000000e-01,9.9596757253e-01,2.9568446765e-02,-1.3993025023e-02,0.0000000000e+00,9.6245639882e-01,7.6609314307e-01,1.0028473297e+00,0.0000000000e+00
-2.0875000000e-01,9.9491081794e-01,3.0937820292e-02,-1.4339232644e-02,0.0000000000e+00,9.5870296269e-01,7.6703991370e-01,1.0020008810e+00,0.0000000000e+00
-2.0625000000e-01,9.9364923323e-01,3.2652014372e-02,-1.4787377728e-02,0.0000000000e+00,9.5459743146e-01,7.6796987075e-01,1.0008886765e+00,0.0000000000e+00
-2.0375000000e-01,9.9216016179e-01,3.4752722035e-02,-1.5351385506e-02,0.0000000000e+00,9.5010162280e-01,7.6888209535e-01,9.9948117693e-01,0.0000000000e+00
