step,time,dt,limited_cells,theta_min,theta_mean,min_pressure_before_source,min_pressure_after_source,max_abs_divB
178,0.129489,0.000310252,8332,0,0.0431701,5.99502e-13,5.99502e-13,542.389
179,0.129792,0.000302672,8368,0,0.0431037,5.96079e-13,5.96079e-13,542.941
180,0.13009,0.000297815,8399,0,0.0424958,5.91971e-13,5.91971e-13,547.424
181,0.130385,0.000294859,8448,0,0.0435614,5.87937e-13,5.87937e-13,547.994
182,0.130678,0.000293251,8479,0,0.0421937,5.83922e-13,5.83922e-13,551.173
183,0.130971,0.000292856,8486,0,0.041592,5.79944e-13,5.79944e-13,553.278
184,0.131253,0.0002826,8527,0,0.0426163,5.7628e-13,5.7628e-13,555.582
185,0.131537,0.000283275,8555,0,0.042219,5.72931e-13,5.72931e-13,555.679
186,0.131812,0.000275674,8591,0,0.042582,5.70174e-13,5.70174e-13,561.452
187,0.13209,0.00027789,8628,0,0.0434906,5.67879e-13,5.67879e-13,567.181
188,0.132364,0.000273601,8661,0,0.0430367,5.65899e-13,5.65899e-13,572.652
189,0.132642,0.000278179,8698,0,0.0431843,5.64215e-13,5.64215e-13,577.822
190,0.132919,0.000277198,8739,0,0.0432913,5.62569e-13,5.62569e-13,582.843
191,0.133203,0.000283612,8766,0,0.0431602,5.61495e-13,5.61495e-13,587.655
192,0.133494,0.000290917,8782,0,0.042765,5.60922e-13,5.60922e-13,592.38
193,0.133785,0.000291201,8830,0,0.0431916,5.60515e-13,5.60515e-13,597.05
194,0.134074,0.000289276,8852,0,0.0424361,5.60681e-13,5.60681e-13,601.536
195,0.134357,0.000282328,8875,0,0.0424364,5.61347e-13,5.61347e-13,605.827
196,0.134632,0.000275856,8905,0,0.0420614,5.62513e-13,5.62513e-13,609.851
197,0.134902,0.00026985,8938,0,0.0416764,5.64067e-13,5.64067e-13,613.62
198,0.135167,0.000264295,8973,0,0.0421948,5.65899e-13,5.65899e-13,617.143
199,0.135426,0.000259169,9012,0,0.0427751,5.65585e-13,5.65585e-13,620.427
200,0.13568,0.000254441,9035,0,0.0417297,5.64844e-13,5.64844e-13,635.413
201,0.13593,0.00025008,9057,0,0.0419853,5.64289e-13,5.64289e-13,646.83
