step,time,dt,limited_cells,theta_min,theta_mean,min_pressure_before_source,min_pressure_after_source,max_abs_divB
129,0.0290572,7.74336e-05,653,0,0.0920673,5.76132e-13,5.76132e-13,2448.26
130,0.0291342,7.7054e-05,653,0,0.0825125,5.71691e-13,5.71691e-13,2469.36
131,0.0292109,7.66366e-05,655,0,0.08597,5.6725e-13,5.6725e-13,2490.6
132,0.0292867,7.57814e-05,659,0,0.0823945,5.63105e-13,5.63105e-13,2505.35
133,0.0293608,7.41331e-05,673,0,0.0918331,5.5896e-13,5.5896e-13,2518.6
134,0.029432,7.11649e-05,675,0,0.088348,5.55112e-13,5.55112e-13,2533.82
135,0.0295008,6.8834e-05,679,0,0.0884013,5.51559e-13,5.51559e-13,2553.7
136,0.0295677,6.6953e-05,683,0,0.0873811,5.63993e-13,5.63993e-13,2576.47
137,0.0296331,6.53907e-05,685,0,0.0912693,5.75244e-13,5.75244e-13,2601.55
138,0.0296972,6.40541e-05,689,0,0.088182,5.8605e-13,5.8605e-13,2628.99
139,0.0297596,6.2385e-05,687,0,0.0842659,5.96412e-13,5.96412e-13,2653.18
140,0.0298205,6.09085e-05,693,0,0.085646,6.05442e-13,6.05442e-13,2674.5
141,0.0298801,5.95839e-05,699,0,0.0862975,6.08698e-13,6.08698e-13,2688.22
142,0.0299385,5.84321e-05,693,0,0.0850314,6.05442e-13,6.05442e-13,2525.68
143,0.0299966,5.81129e-05,705,0,0.0972565,6.02481e-13,6.02481e-13,2607.07
144,0.0300545,5.79215e-05,705,0,0.100924,5.98928e-13,5.98928e-13,2677.44
145,0.0301124,5.78263e-05,704,0,0.0915593,5.95672e-13,5.95672e-13,2719.76
146,0.0301702,5.78395e-05,702,0,0.0895443,5.90787e-13,5.90787e-13,2873.67
147,0.0302281,5.79332e-05,710,0,0.0864749,5.84273e-13,5.84273e-13,2875.96
148,0.0302862,5.8124e-05,710,0,0.089723,5.77612e-13,5.77612e-13,2804.73
149,0.0303448,5.85997e-05,712,0,0.0842331,5.70803e-13,5.70803e-13,2763.29
150,0.0304037,5.8899e-05,712,0,0.0835096,5.64141e-13,5.64141e-13,2689.45
151,0.0304631,5.93284e-05,718,0,0.0877067,5.57776e-13,5.57776e-13,2710.39
152,0.0305228,5.96997e-05,726,0,0.0924178,5.51263e-13,5.51263e-13,2601.95
153,0.0305828,6.00271e-05,726,0,0.0876954,5.44749e-13,5.44749e-13,2566.69
154,0.0306437,6.09131e-05,730,0,0.0890145,5.38236e-13,5.38236e-13,2610.18
155,0.0307055,6.1833e-05,737,0,0.0909951,5.31723e-13,5.31723e-13,2695.75
156,0.0307681,6.25388e-05,742,0,0.095183,5.25358e-13,5.25358e-13,2721.41
157,0.0308312,6.31208e-05,742,0,0.0943802,5.1914e-13,5.1914e-13,2720.65
158,0.0308955,6.43242e-05,745,0,0.0939923,5.12479e-13,5.12479e-13,2828.16
159,0.0309609,6.54129e-05,745,0,0.094303,5.05818e-13,5.05818e-13,2912.7
160,0.0310274,6.64091e-05,742,0,0.0866382,4.996e-13,4.996e-13,2952.99
161,0.0310925,6.51293e-05,752,0,0.0907396,4.93531e-13,4.93531e-13,2933.69
162,0.0311562,6.37397e-05,750,0,0.0836352,4.8761e-13,4.8761e-13,3023.59
163,0.031219,6.27782e-05,752,0,0.0845611,4.82281e-13,4.82281e-13,3135.22
164,0.0312811,6.21467e-05,756,0,0.0853026,4.77248e-13,4.77248e-13,3218.45
165,0.0313431,6.19495e-05,761,0,0.0876539,4.72215e-13,4.72215e-13,3354.46
166,0.031405,6.18611e-05,765,0,0.0868308,4.6733e-13,4.6733e-13,3455.2
167,0.0314669,6.19302e-05,773,0,0.0909462,4.62297e-13,4.62297e-13,3512.44
168,0.031529,6.2108e-05,767,0,0.0865649,4.57412e-13,4.57412e-13,3552.25
169,0.0315896,6.05589e-05,781,0,0.0913067,4.53119e-13,4.53119e-13,3561.53
170,0.031649,5.94463e-05,791,0,0.097158,4.49566e-13,4.49566e-13,3494.82
171,0.0317081,5.90883e-05,797,0,0.0947166,4.46754e-13,4.46754e-13,3414.06
172,0.0317673,5.9205e-05,791,0,0.0839107,4.43941e-13,4.43941e-13,3398.49
173,0.0318265,5.92407e-05,789,0,0.0857676,4.41869e-13,4.94715e-13,3380.55
174,0.0318849,5.8357e-05,787,0,0.0844803,4.91607e-13,4.91607e-13,3378.48
175,0.0319423,5.73996e-05,792,0,0.086873,4.8835e-13,4.8835e-13,3535.38
176,0.0319987,5.63622e-05,798,0,0.0907699,4.85538e-13,4.85538e-13,3693.68
177,0.032054,5.53141e-05,798,0,0.0865711,4.82281e-13,4.82281e-13,3820.57
178,0.0321082,5.42156e-05,800,0,0.0893312,4.79616e-13,4.79616e-13,3916.33
179,0.0321614,5.32096e-05,806,0,0.0896923,4.76508e-13,4.76508e-13,3985.59
180,0.0322137,5.23171e-05,807,0,0.0895861,4.73547e-13,4.73547e-13,4031.23
181,0.0322668,5.30401e-05,820,0,0.0954591,4.70587e-13,4.70587e-13,4038.59
182,0.0323197,5.29906e-05,823,0,0.0940258,4.6733e-13,4.6733e-13,4012.82
183,0.0323723,5.25204e-05,811,0,0.0785744,4.64369e-13,4.64369e-13,3942.25
184,0.0324239,5.16575e-05,817,0,0.0853102,4.61853e-13,4.61853e-13,3988.02
185,0.0324748,5.08936e-05,823,0,0.0822558,4.59188e-13,4.59188e-13,4239.13
186,0.032525,5.02011e-05,825,0,0.0840185,4.56228e-13,4.56228e-13,4370.82
187,0.0325746,4.95479e-05,822,0,0.0848904,4.53563e-13,4.53563e-13,4464.87
188,0.0326235,4.89324e-05,820,0,0.0867674,4.50751e-13,4.50751e-13,4464.14
189,0.0326718,4.83508e-05,826,0,0.089867,4.48234e-13,4.48234e-13,4345.21
190,0.0327197,4.78083e-05,830,0,0.0896756,4.45421e-13,4.45421e-13,4117.6
191,0.032767,4.73085e-05,834,0,0.0926739,4.43201e-13,4.43201e-13,4168.82
192,0.0328138,4.68624e-05,838,0,0.0889503,4.40685e-13,4.40685e-13,4214.42
193,0.0328603,4.64501e-05,836,0,0.086284,4.38316e-13,4.38316e-13,4206.82
194,0.0329063,4.60459e-05,836,0,0.0866025,4.36096e-13,4.36096e-13,4247.82
195,0.032952,4.56924e-05,838,0,0.0860873,4.33727e-13,4.33727e-13,4228.5
196,0.0329974,4.53519e-05,848,0,0.0925501,4.31359e-13,4.31359e-13,4170.88
197,0.0330424,4.50182e-05,854,0,0.0909546,4.2899e-13,4.2899e-13,4086.98
198,0.0330871,4.46835e-05,853,0,0.0879964,4.26918e-13,4.26918e-13,4093.66
199,0.0331315,4.44164e-05,853,0,0.0855424,4.24845e-13,4.24845e-13,4128.71
200,0.0331757,4.42099e-05,858,0,0.0844284,4.22773e-13,4.22773e-13,4122.43
201,0.0332198,4.41029e-05,861,0,0.0859851,4.20404e-13,4.20404e-13,4160.49
202,0.0332639,4.40828e-05,869,0,0.0870364,4.18036e-13,4.18036e-13,4061.21
203,0.033308,4.41318e-05,873,0,0.0882827,4.15964e-13,4.15964e-13,4003.69
204,0.0333523,4.42387e-05,876,0,0.0866113,4.13743e-13,4.13743e-13,4351.28
205,0.033396,4.37732e-05,882,0,0.0831025,4.11967e-13,4.11967e-13,4712.49
206,0.0334392,4.31291e-05,887,0,0.0879715,4.09894e-13,4.09894e-13,4982.24
207,0.0334816,4.24819e-05,879,0,0.0856797,4.07674e-13,4.07674e-13,4982.44
208,0.0335235,4.18344e-05,875,0,0.0821312,4.05601e-13,4.05601e-13,4949.54
209,0.0335649,4.14641e-05,881,0,0.0860283,4.03825e-13,4.03825e-13,4861.49
210,0.0336062,4.12587e-05,881,0,0.0851172,4.02345e-13,4.02345e-13,4713.85
211,0.0336473,4.10624e-05,879,0,0.0833728,4.0042e-13,4.0042e-13,4764.9
212,0.0336877,4.03978e-05,885,0,0.0889383,3.98496e-13,3.98496e-13,4831.17
