problem,method,nx,ny,reconstruction,limiter,damping_mode,glm_ch_factor,glm_cd,glm_cr,glm_subcycles,glm_ch,glm_cp,glm_effective_cd,glm_effective_cr,status,final_time_reached,final_L2_norm_fv,peak_L2_norm_fv,time_integrated_L2_norm_fv,final_Linf_norm_fv,peak_Linf_norm_fv,min_pressure,min_density,has_nonfinite,has_negative_density,has_negative_pressure,energy_drift,total_wall_time_sec,seconds_per_step,cell_updates_per_second,cleaning_subcycles_total,failure_reason,summary_file,diagnostic_file
divergence_advection,mixed_glm,256,256,plm,mc,cr,4.0,nan,0.3,1,9.16683,1.65833,0.997786,0.3,finished,1,8.19484e-05,0.00026775,8.74246e-06,0.000245854,0.00184213,0.994322,0.986568,0.0,0.0,0.0,2.40085e-14,20.9504,0.283113,231484.0,590,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n256_mixed_glm_ch4_sub1_cr0p3_mixed_glm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n256_mixed_glm_ch4_sub1_cr0p3_mixed_glm.csv
divergence_advection,mixed_glm,256,256,plm,mc,cr,4.0,nan,0.5,1,9.16683,2.14089,0.998647,0.5,finished,1,0.000111909,0.00026775,9.491475e-06,0.000334416,0.00184213,0.99297,0.986366,0.0,0.0,0.0,4.41283e-14,20.6062,0.278462,235350.0,590,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n256_mixed_glm_ch4_sub1_cr0p5_mixed_glm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n256_mixed_glm_ch4_sub1_cr0p5_mixed_glm.csv
divergence_advection,mixed_eglm,256,256,plm,mc,cr,2.0,nan,0.1,1,4.58341,0.677009,0.994581,0.1,finished,1,6.31491e-05,0.00026775,8.2724775e-06,0.000190062,0.00184213,0.987168,0.991661,0.0,0.0,0.0,-3.8108e-06,17.9583,0.24268,270051.0,294,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n256_mixed_eglm_ch2_sub1_cr0p1_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n256_mixed_eglm_ch2_sub1_cr0p1_mixed_eglm.csv
divergence_advection,mixed_eglm,256,256,plm,mc,cr,2.0,nan,0.18,1,4.58341,0.908303,0.996987,0.18,finished,1,9.40635e-05,0.00026775,9.045337499999999e-06,0.00031012,0.00184213,0.98706,0.991674,0.0,0.0,0.0,-3.66049e-06,17.2678,0.233348,280851.0,294,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n256_mixed_eglm_ch2_sub1_cr0p18_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n256_mixed_eglm_ch2_sub1_cr0p18_mixed_eglm.csv
divergence_advection,mixed_eglm,256,256,plm,mc,cr,2.0,nan,0.3,1,4.58341,1.17261,0.998191,0.3,finished,1,0.000119134,0.00026775,9.6721e-06,0.000423154,0.00184213,0.986998,0.991686,0.0,0.0,0.0,-3.40662e-06,16.7353,0.226153,289786.0,294,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n256_mixed_eglm_ch2_sub1_cr0p3_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n256_mixed_eglm_ch2_sub1_cr0p3_mixed_eglm.csv
divergence_advection,mixed_eglm,256,256,plm,mc,cr,2.0,nan,0.5,1,4.58341,1.51384,0.998914,0.5,finished,1,0.000138121,0.00026775,1.0146775e-05,0.000505486,0.00184213,0.986958,0.991695,0.0,0.0,0.0,-3.1479e-06,17.5569,0.237255,276226.0,294,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n256_mixed_eglm_ch2_sub1_cr0p5_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n256_mixed_eglm_ch2_sub1_cr0p5_mixed_eglm.csv
divergence_advection,mixed_eglm,256,256,plm,mc,cr,4.0,nan,0.1,1,9.16683,0.957436,0.992841,0.1,finished,1,1.67698e-05,0.00026775,7.112994999999999e-06,4.84171e-05,0.00184213,0.98782,0.991809,0.0,0.0,0.0,-4.19333e-06,24.1625,0.32652,200711.0,587,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n256_mixed_eglm_ch4_sub1_cr0p1_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n256_mixed_eglm_ch4_sub1_cr0p1_mixed_eglm.csv
divergence_advection,mixed_eglm,256,256,plm,mc,cr,4.0,nan,0.18,1,9.16683,1.28453,0.996025,0.18,finished,1,4.81635e-05,0.00026775,7.8978375e-06,0.000144606,0.00184213,0.987774,0.991849,0.0,0.0,0.0,-4.02756e-06,23.6806,0.320008,204795.0,587,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n256_mixed_eglm_ch4_sub1_cr0p18_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n256_mixed_eglm_ch4_sub1_cr0p18_mixed_eglm.csv
divergence_advection,mixed_eglm,256,256,plm,mc,cr,4.0,nan,0.3,1,9.16683,1.65833,0.997615,0.3,finished,1,8.19701e-05,0.00026775,8.7430025e-06,0.000245897,0.00184213,0.987749,0.991872,0.0,0.0,0.0,-3.6435e-06,23.5084,0.317681,206295.0,587,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n256_mixed_eglm_ch4_sub1_cr0p3_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n256_mixed_eglm_ch4_sub1_cr0p3_mixed_eglm.csv
divergence_advection,mixed_eglm,256,256,plm,mc,cr,4.0,nan,0.5,1,9.16683,2.14089,0.99857,0.5,finished,1,0.000111937,0.00026775,9.492175e-06,0.000334523,0.00184213,0.987735,0.991885,0.0,0.0,0.0,-3.14789e-06,24.4325,0.330169,198493.0,587,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n256_mixed_eglm_ch4_sub1_cr0p5_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n256_mixed_eglm_ch4_sub1_cr0p5_mixed_eglm.csv
