problem,method,reconstruction,limiter,nx,ny,ncell,tfinal,threads,repeat,solver_time_sec,total_wall_time_sec,hydro_time_sec,cleaning_time_sec,iteration_count,time_per_iteration_sec,final_residual_L2_fv,final_residual_Linf_fv,energy_drift,status,summary_file
divergence_advection,none,plm,mc,512,512,262144,0.02,4,2,34.425241653,44.1734,34.4251,0.000141653,59,0.5834786720847458,0.0700631,0.483121,7.25328e-14,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n512_t4_r2_none_summary.csv
divergence_advection,none,plm,mc,512,512,262144,0.02,4,3,31.426468878,40.2471,31.4263,0.000168878,59,0.5326520148813559,0.0700631,0.483121,7.25328e-14,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n512_t4_r3_none_summary.csv
divergence_advection,none,plm,mc,512,512,262144,0.02,8,1,20.565245209,28.1759,20.5651,0.000145209,59,0.3485634781186441,0.0700631,0.483121,7.25328e-14,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n512_t8_r1_none_summary.csv
divergence_advection,none,plm,mc,512,512,262144,0.02,8,2,20.200848812,27.9015,20.2007,0.000148812,59,0.342387268,0.0700631,0.483121,7.25328e-14,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n512_t8_r2_none_summary.csv
divergence_advection,none,plm,mc,512,512,262144,0.02,8,3,19.765123286,27.4427,19.765,0.000123286,59,0.33500208959322036,0.0700631,0.483121,7.25328e-14,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n512_t8_r3_none_summary.csv
divergence_advection,none,plm,mc,512,512,262144,0.02,16,1,16.174051145,23.9308,16.1739,0.000151145,59,0.27413646008474574,0.0700631,0.483121,7.25328e-14,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n512_t16_r1_none_summary.csv
divergence_advection,none,plm,mc,512,512,262144,0.02,16,2,16.104148375999998,23.9404,16.104,0.000148376,59,0.27295166738983045,0.0700631,0.483121,7.25328e-14,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n512_t16_r2_none_summary.csv
divergence_advection,none,plm,mc,512,512,262144,0.02,16,3,16.189151249000002,24.0461,16.189,0.000151249,59,0.2743923940508475,0.0700631,0.483121,7.25328e-14,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n512_t16_r3_none_summary.csv
divergence_advection,none,plm,mc,512,512,262144,0.02,32,1,27.718057778,36.0617,27.7179,0.000157778,59,0.4697975894576271,0.0700631,0.483121,7.25328e-14,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n512_t32_r1_none_summary.csv
divergence_advection,none,plm,mc,512,512,262144,0.02,32,2,28.9223455,37.1145,28.9222,0.0001455,59,0.49020924576271185,0.0700631,0.483121,7.25328e-14,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n512_t32_r2_none_summary.csv
divergence_advection,none,plm,mc,512,512,262144,0.02,32,3,29.627434255,37.9302,29.6273,0.000134255,59,0.5021599026271186,0.0700631,0.483121,7.25328e-14,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n512_t32_r3_none_summary.csv
